"Plot Title: Bradford6a_baro"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248142, SEN S/N: 21248142)","Temp, °F (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Detached (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Attached (LGR S/N: 21248142, SEN S/N: 21248142)","Stopped (LGR S/N: 21248142, SEN S/N: 21248142)","End Of File (LGR S/N: 21248142, SEN S/N: 21248142)"
1,05/09/25 12:00:00 PM,14.6730,88.650,Logged,,,
2,05/09/25 01:00:00 PM,14.6545,90.124,,,,
3,05/09/25 02:00:00 PM,14.6507,89.200,,,,
4,05/09/25 03:00:00 PM,14.6465,88.833,,,,
5,05/09/25 04:00:00 PM,14.6384,87.368,,,,
6,05/09/25 05:00:00 PM,14.6440,86.097,,,,
7,05/09/25 06:00:00 PM,14.6388,82.864,,,,
8,05/09/25 07:00:00 PM,14.6587,79.502,,,,
9,05/09/25 08:00:00 PM,14.6690,76.354,,,,
10,05/09/25 09:00:00 PM,14.6870,74.446,,,,
11,05/09/25 10:00:00 PM,14.6916,72.545,,,,
12,05/09/25 11:00:00 PM,14.6822,72.028,,,,
13,05/10/25 12:00:00 AM,14.6722,70.308,,,,
14,05/10/25 01:00:00 AM,14.6681,69.964,,,,
15,05/10/25 02:00:00 AM,14.6611,69.793,,,,
16,05/10/25 03:00:00 AM,14.6652,69.278,,,,
17,05/10/25 04:00:00 AM,14.6575,68.763,,,,
18,05/10/25 05:00:00 AM,14.6532,68.248,,,,
19,05/10/25 06:00:00 AM,14.6642,67.906,,,,
20,05/10/25 07:00:00 AM,14.6806,68.592,,,,
21,05/10/25 08:00:00 AM,14.6970,70.137,,,,
22,05/10/25 09:00:00 AM,14.6932,69.964,,,,
23,05/10/25 10:00:00 AM,14.6822,71.168,,,,
24,05/10/25 11:00:00 AM,14.6886,72.718,,,,
25,05/10/25 12:00:00 PM,14.6865,76.703,,,,
26,05/10/25 01:00:00 PM,14.6851,79.326,,,,
27,05/10/25 02:00:00 PM,14.6790,81.266,,,,
28,05/10/25 03:00:00 PM,14.6661,81.442,,,,
29,05/10/25 04:00:00 PM,14.6674,79.678,,,,
30,05/10/25 05:00:00 PM,14.6698,78.449,,,,
31,05/10/25 06:00:00 PM,14.6970,69.278,,,,
32,05/10/25 07:00:00 PM,14.6633,66.537,,,,
33,05/10/25 08:00:00 PM,14.6710,66.193,,,,
34,05/10/25 09:00:00 PM,14.6894,66.193,,,,
35,05/10/25 10:00:00 PM,14.7042,66.022,,,,
36,05/10/25 11:00:00 PM,14.7091,66.022,,,,
37,05/11/25 12:00:00 AM,14.7058,66.022,,,,
38,05/11/25 01:00:00 AM,14.6971,65.851,,,,
39,05/11/25 02:00:00 AM,14.6897,66.366,,,,
40,05/11/25 03:00:00 AM,14.6857,67.735,,,,
41,05/11/25 04:00:00 AM,14.6819,68.421,,,,
42,05/11/25 05:00:00 AM,14.6916,68.248,,,,
43,05/11/25 06:00:00 AM,14.6913,68.077,,,,
44,05/11/25 07:00:00 AM,14.7029,70.651,,,,
45,05/11/25 08:00:00 AM,14.7080,73.234,,,,
46,05/11/25 09:00:00 AM,14.7205,74.446,,,,
47,05/11/25 10:00:00 AM,14.7212,74.791,,,,
48,05/11/25 11:00:00 AM,14.7205,75.312,,,,
49,05/11/25 12:00:00 PM,14.7238,75.312,,,,
50,05/11/25 01:00:00 PM,14.7218,74.271,,,,
51,05/11/25 02:00:00 PM,14.7164,73.234,,,,
52,05/11/25 03:00:00 PM,14.6970,73.580,,,,
53,05/11/25 04:00:00 PM,14.6839,74.619,,,,
54,05/11/25 05:00:00 PM,14.6971,75.312,,,,
55,05/11/25 06:00:00 PM,14.7000,75.139,,,,
56,05/11/25 07:00:00 PM,14.6990,74.619,,,,
57,05/11/25 08:00:00 PM,14.6970,73.580,,,,
58,05/11/25 09:00:00 PM,14.7062,69.793,,,,
59,05/11/25 10:00:00 PM,14.7094,67.906,,,,
60,05/11/25 11:00:00 PM,14.7061,67.906,,,,
61,05/12/25 12:00:00 AM,14.7116,69.107,,,,
62,05/12/25 01:00:00 AM,14.7044,69.622,,,,
63,05/12/25 02:00:00 AM,14.6929,69.793,,,,
64,05/12/25 03:00:00 AM,14.6846,68.934,,,,
65,05/12/25 04:00:00 AM,14.6772,69.449,,,,
66,05/12/25 05:00:00 AM,14.6778,69.793,,,,
67,05/12/25 06:00:00 AM,14.6768,70.137,,,,
68,05/12/25 07:00:00 AM,14.6845,70.651,,,,
69,05/12/25 08:00:00 AM,14.6970,70.995,,,,
70,05/12/25 09:00:00 AM,14.6872,72.028,,,,
71,05/12/25 10:00:00 AM,14.6919,72.718,,,,
72,05/12/25 11:00:00 AM,14.6893,74.791,,,,
73,05/12/25 12:00:00 PM,14.6839,77.923,,,,
74,05/12/25 01:00:00 PM,14.6709,83.757,,,,
75,05/12/25 02:00:00 PM,14.6543,81.442,,,,
76,05/12/25 03:00:00 PM,14.6416,81.797,,,,
77,05/12/25 04:00:00 PM,14.6356,77.225,,,,
78,05/12/25 05:00:00 PM,14.6268,75.312,,,,
79,05/12/25 06:00:00 PM,14.6224,74.791,,,,
80,05/12/25 07:00:00 PM,14.6250,74.446,,,,
81,05/12/25 08:00:00 PM,14.6366,71.856,,,,
82,05/12/25 09:00:00 PM,14.6401,69.278,,,,
83,05/12/25 10:00:00 PM,14.6459,67.050,,,,
84,05/12/25 11:00:00 PM,14.6511,65.338,,,,
85,05/13/25 12:00:00 AM,14.6508,64.310,,,,
86,05/13/25 01:00:00 AM,14.6479,63.626,,,,
87,05/13/25 02:00:00 AM,14.6417,62.940,,,,
88,05/13/25 03:00:00 AM,14.6381,61.912,,,,
89,05/13/25 04:00:00 AM,14.6369,61.227,,,,
90,05/13/25 05:00:00 AM,14.6389,60.539,,,,
91,05/13/25 06:00:00 AM,14.6461,59.851,,,,
92,05/13/25 07:00:00 AM,14.6485,61.227,,,,
93,05/13/25 08:00:00 AM,14.6545,68.934,,,,
94,05/13/25 09:00:00 AM,14.6608,72.199,,,,
95,05/13/25 10:00:00 AM,14.6619,74.446,,,,
96,05/13/25 11:00:00 AM,14.6584,77.749,,,,
97,05/13/25 12:00:00 PM,14.6497,84.834,,,,
98,05/13/25 01:00:00 PM,14.6446,87.186,,,,
99,05/13/25 02:00:00 PM,14.6427,82.330,,,,
100,05/13/25 03:00:00 PM,14.6300,83.399,,,,
101,05/13/25 04:00:00 PM,14.6227,80.735,,,,
102,05/13/25 05:00:00 PM,14.6262,79.151,,,,
103,05/13/25 06:00:00 PM,14.6266,77.749,,,,
104,05/13/25 07:00:00 PM,14.6265,75.139,,,,
105,05/13/25 08:00:00 PM,14.6300,70.995,,,,
106,05/13/25 09:00:00 PM,14.6318,67.564,,,,
107,05/13/25 10:00:00 PM,14.6407,65.167,,,,
108,05/13/25 11:00:00 PM,14.6418,63.968,,,,
109,05/14/25 12:00:00 AM,14.6433,62.940,,,,
110,05/14/25 01:00:00 AM,14.6414,61.912,,,,
111,05/14/25 02:00:00 AM,14.6375,61.569,,,,
112,05/14/25 03:00:00 AM,14.6362,60.883,,,,
113,05/14/25 04:00:00 AM,14.6366,60.195,,,,
114,05/14/25 05:00:00 AM,14.6421,59.508,,,,
115,05/14/25 06:00:00 AM,14.6446,58.993,,,,
