"Plot Title: Bradford6a_baro"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248142, SEN S/N: 21248142)","Temp, °F (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Detached (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Attached (LGR S/N: 21248142, SEN S/N: 21248142)","Stopped (LGR S/N: 21248142, SEN S/N: 21248142)","End Of File (LGR S/N: 21248142, SEN S/N: 21248142)"
1,06/02/23 02:00:00 PM,14.5693,86.459,Logged,,,
2,06/02/23 03:00:00 PM,14.5605,84.654,,,,
3,06/02/23 04:00:00 PM,14.5532,83.579,,,,
4,06/02/23 05:00:00 PM,14.5519,82.152,,,,
5,06/02/23 06:00:00 PM,14.5612,79.326,,,,
6,06/02/23 07:00:00 PM,14.5676,76.703,,,,
7,06/02/23 08:00:00 PM,14.5674,72.372,,,,
8,06/02/23 09:00:00 PM,14.5718,69.449,,,,
9,06/02/23 10:00:00 PM,14.5789,67.906,,,,
10,06/02/23 11:00:00 PM,14.5703,66.879,,,,
11,06/03/23 12:00:00 AM,14.5658,65.338,,,,
12,06/03/23 01:00:00 AM,14.5540,64.310,,,,
13,06/03/23 02:00:00 AM,14.5473,63.455,,,,
14,06/03/23 03:00:00 AM,14.5437,63.282,,,,
15,06/03/23 04:00:00 AM,14.5421,63.282,,,,
16,06/03/23 05:00:00 AM,14.5451,63.111,,,,
17,06/03/23 06:00:00 AM,14.5522,64.310,,,,
18,06/03/23 07:00:00 AM,14.5557,67.050,,,,
19,06/03/23 08:00:00 AM,14.5600,70.308,,,,
20,06/03/23 09:00:00 AM,14.5598,73.580,,,,
21,06/03/23 10:00:00 AM,14.5627,76.703,,,,
22,06/03/23 11:00:00 AM,14.5635,79.678,,,,
23,06/03/23 12:00:00 PM,14.5627,86.459,,,,
24,06/03/23 01:00:00 PM,14.5464,88.282,,,,
25,06/03/23 02:00:00 PM,14.5421,90.124,,,,
26,06/03/23 03:00:00 PM,14.5393,88.833,,,,
27,06/03/23 04:00:00 PM,14.5299,86.823,,,,
28,06/03/23 05:00:00 PM,14.5300,86.097,,,,
29,06/03/23 06:00:00 PM,14.5281,83.579,,,,
30,06/03/23 07:00:00 PM,14.5355,79.853,,,,
31,06/03/23 08:00:00 PM,14.5397,75.312,,,,
32,06/03/23 09:00:00 PM,14.5457,72.372,,,,
33,06/03/23 10:00:00 PM,14.5531,70.137,,,,
34,06/03/23 11:00:00 PM,14.5428,68.248,,,,
35,06/04/23 12:00:00 AM,14.5467,66.708,,,,
36,06/04/23 01:00:00 AM,14.5503,66.022,,,,
37,06/04/23 02:00:00 AM,14.5515,65.680,,,,
38,06/04/23 03:00:00 AM,14.5482,64.825,,,,
39,06/04/23 04:00:00 AM,14.5434,66.708,,,,
40,06/04/23 05:00:00 AM,14.5508,68.934,,,,
41,06/04/23 06:00:00 AM,14.5521,69.622,,,,
42,06/04/23 07:00:00 AM,14.5554,70.480,,,,
43,06/04/23 08:00:00 AM,14.5672,73.062,,,,
44,06/04/23 09:00:00 AM,14.5722,76.528,,,,
45,06/04/23 10:00:00 AM,14.5722,78.975,,,,
46,06/04/23 11:00:00 AM,14.5683,81.975,,,,
47,06/04/23 12:00:00 PM,14.5702,76.354,,,,
48,06/04/23 01:00:00 PM,14.5669,74.619,,,,
49,06/04/23 02:00:00 PM,14.5682,78.624,,,,
50,06/04/23 03:00:00 PM,14.5673,79.853,,,,
51,06/04/23 04:00:00 PM,14.5679,76.006,,,,
52,06/04/23 05:00:00 PM,14.5782,75.312,,,,
53,06/04/23 06:00:00 PM,14.5892,74.098,,,,
54,06/04/23 07:00:00 PM,14.5882,72.718,,,,
55,06/04/23 08:00:00 PM,14.5882,71.856,,,,
56,06/04/23 09:00:00 PM,14.5969,71.168,,,,
57,06/04/23 10:00:00 PM,14.6079,70.824,,,,
58,06/04/23 11:00:00 PM,14.6050,70.137,,,,
59,06/05/23 12:00:00 AM,14.6050,70.137,,,,
60,06/05/23 01:00:00 AM,14.5996,69.964,,,,
61,06/05/23 02:00:00 AM,14.5963,69.964,,,,
62,06/05/23 03:00:00 AM,14.5963,69.107,,,,
63,06/05/23 04:00:00 AM,14.5983,67.564,,,,
64,06/05/23 05:00:00 AM,14.6078,68.077,,,,
65,06/05/23 06:00:00 AM,14.6207,68.763,,,,
66,06/05/23 07:00:00 AM,14.6310,69.793,,,,
67,06/05/23 08:00:00 AM,14.6437,73.753,,,,
68,06/05/23 09:00:00 AM,14.6477,76.528,,,,
69,06/05/23 10:00:00 AM,14.6521,77.923,,,,
70,06/05/23 11:00:00 AM,14.6490,81.266,,,,
71,06/05/23 12:00:00 PM,14.6459,84.654,,,,
72,06/05/23 01:00:00 PM,14.6442,87.733,,,,
73,06/05/23 02:00:00 PM,14.6410,89.384,,,,
74,06/05/23 03:00:00 PM,14.6336,88.282,,,,
75,06/05/23 04:00:00 PM,14.6313,84.834,,,,
76,06/05/23 05:00:00 PM,14.6282,83.399,,,,
77,06/05/23 06:00:00 PM,14.6294,80.735,,,,
78,06/05/23 07:00:00 PM,14.6336,76.181,,,,
79,06/05/23 08:00:00 PM,14.6366,70.995,,,,
80,06/05/23 09:00:00 PM,14.6368,67.564,,,,
81,06/05/23 10:00:00 PM,14.6511,65.338,,,,
82,06/05/23 11:00:00 PM,14.6540,63.282,,,,
83,06/06/23 12:00:00 AM,14.6545,61.741,,,,
84,06/06/23 01:00:00 AM,14.6482,61.054,,,,
85,06/06/23 02:00:00 AM,14.6487,60.368,,,,
86,06/06/23 03:00:00 AM,14.6439,59.508,,,,
87,06/06/23 04:00:00 AM,14.6492,58.820,,,,
88,06/06/23 05:00:00 AM,14.6463,58.131,,,,
89,06/06/23 06:00:00 AM,14.6555,57.614,,,,
90,06/06/23 07:00:00 AM,14.6648,60.024,,,,
91,06/06/23 08:00:00 AM,14.6698,69.964,,,,
92,06/06/23 09:00:00 AM,14.6704,77.050,,,,
93,06/06/23 10:00:00 AM,14.6717,79.326,,,,
94,06/06/23 11:00:00 AM,14.6597,83.221,,,,
95,06/06/23 12:00:00 PM,14.6498,90.309,,,,
96,06/06/23 01:00:00 PM,14.6375,91.612,,,,
97,06/06/23 02:00:00 PM,14.6233,92.737,,,,
98,06/06/23 03:00:00 PM,14.6179,89.569,,,,
99,06/06/23 04:00:00 PM,14.6118,88.282,,,,
100,06/06/23 05:00:00 PM,14.6056,87.733,,,,
101,06/06/23 06:00:00 PM,14.5978,83.221,,,,
102,06/06/23 07:00:00 PM,14.6001,79.502,,,,
103,06/06/23 08:00:00 PM,14.6070,76.354,,,,
104,06/06/23 09:00:00 PM,14.6170,74.619,,,,
105,06/06/23 10:00:00 PM,14.6276,73.234,,,,
106,06/06/23 11:00:00 PM,14.6266,72.718,,,,
107,06/07/23 12:00:00 AM,14.6199,70.995,,,,
108,06/07/23 01:00:00 AM,14.6150,68.421,,,,
109,06/07/23 02:00:00 AM,14.6075,67.050,,,,
110,06/07/23 03:00:00 AM,14.6041,66.193,,,,
111,06/07/23 04:00:00 AM,14.6082,66.537,,,,
112,06/07/23 05:00:00 AM,14.6121,66.879,,,,
113,06/07/23 06:00:00 AM,14.6157,67.050,,,,
114,06/07/23 07:00:00 AM,14.6117,68.421,,,,
115,06/07/23 08:00:00 AM,14.6173,72.199,,,,
116,06/07/23 09:00:00 AM,14.6144,75.832,,,,
117,06/07/23 10:00:00 AM,14.6117,78.624,,,,
118,06/07/23 11:00:00 AM,14.6097,82.508,,,,
119,06/07/23 12:00:00 PM,14.6030,84.115,,,,
120,06/07/23 01:00:00 PM,14.5922,87.004,,,,
121,06/07/23 02:00:00 PM,14.5793,91.800,,,,
122,06/07/23 03:00:00 PM,14.5598,89.755,,,,
123,06/07/23 04:00:00 PM,14.5508,87.186,,,,
124,06/07/23 05:00:00 PM,14.5521,87.004,,,,
125,06/07/23 06:00:00 PM,14.5480,84.295,,,,
126,06/07/23 07:00:00 PM,14.5502,79.678,,,,
127,06/07/23 08:00:00 PM,14.5563,76.876,,,,
128,06/07/23 09:00:00 PM,14.5641,74.964,,,,
129,06/07/23 10:00:00 PM,14.5648,72.718,,,,
130,06/07/23 11:00:00 PM,14.5641,71.512,,,,
131,06/08/23 12:00:00 AM,14.5651,69.449,,,,
132,06/08/23 01:00:00 AM,14.5599,67.564,,,,
133,06/08/23 02:00:00 AM,14.5598,66.537,,,,
