"Plot Title: Bradford6a_baro"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248142, SEN S/N: 21248142)","Temp, °F (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Detached (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Attached (LGR S/N: 21248142, SEN S/N: 21248142)","Stopped (LGR S/N: 21248142, SEN S/N: 21248142)","End Of File (LGR S/N: 21248142, SEN S/N: 21248142)"
1,09/13/24 01:00:00 PM,14.6616,78.449,Logged,,,
2,09/13/24 02:00:00 PM,14.6504,77.923,,,,
3,09/13/24 03:00:00 PM,14.6279,77.574,,,,
4,09/13/24 04:00:00 PM,14.6182,77.749,,,,
5,09/13/24 05:00:00 PM,14.6269,77.923,,,,
6,09/13/24 06:00:00 PM,14.6249,77.749,,,,
7,09/13/24 07:00:00 PM,14.6301,76.181,,,,
8,09/13/24 08:00:00 PM,14.6432,75.139,,,,
9,09/13/24 09:00:00 PM,14.6459,75.659,,,,
10,09/13/24 10:00:00 PM,14.6375,75.659,,,,
11,09/13/24 11:00:00 PM,14.6318,75.312,,,,
12,09/14/24 12:00:00 AM,14.6258,74.791,,,,
13,09/14/24 01:00:00 AM,14.6176,74.098,,,,
14,09/14/24 02:00:00 AM,14.6176,73.234,,,,
15,09/14/24 03:00:00 AM,14.6153,72.891,,,,
16,09/14/24 04:00:00 AM,14.6146,73.407,,,,
17,09/14/24 05:00:00 AM,14.6213,73.407,,,,
18,09/14/24 06:00:00 AM,14.6260,74.098,,,,
19,09/14/24 07:00:00 AM,14.6334,74.446,,,,
20,09/14/24 08:00:00 AM,14.6398,75.139,,,,
21,09/14/24 09:00:00 AM,14.6408,76.528,,,,
22,09/14/24 10:00:00 AM,14.6410,77.400,,,,
23,09/14/24 11:00:00 AM,14.6506,78.800,,,,
24,09/14/24 12:00:00 PM,14.6387,81.975,,,,
25,09/14/24 01:00:00 PM,14.6339,82.864,,,,
26,09/14/24 02:00:00 PM,14.6249,81.797,,,,
27,09/14/24 03:00:00 PM,14.6169,81.975,,,,
