"Plot Title: Bradford6a_baro"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21248142, SEN S/N: 21248142)","Temp, °F (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Detached (LGR S/N: 21248142, SEN S/N: 21248142)","Coupler Attached (LGR S/N: 21248142, SEN S/N: 21248142)","Stopped (LGR S/N: 21248142, SEN S/N: 21248142)","End Of File (LGR S/N: 21248142, SEN S/N: 21248142)"
1,08/02/23 04:00:00 PM,14.6997,86.277,Logged,,,
2,08/02/23 05:00:00 PM,14.7047,86.277,,,,
3,08/02/23 06:00:00 PM,14.7028,83.757,,,,
4,08/02/23 07:00:00 PM,14.7012,81.442,,,,
5,08/02/23 08:00:00 PM,14.7100,78.449,,,,
6,08/02/23 09:00:00 PM,14.7196,76.528,,,,
7,08/02/23 10:00:00 PM,14.7202,75.139,,,,
8,08/02/23 11:00:00 PM,14.7184,74.271,,,,
9,08/03/23 12:00:00 AM,14.7141,73.753,,,,
10,08/03/23 01:00:00 AM,14.7026,73.062,,,,
11,08/03/23 02:00:00 AM,14.6942,72.199,,,,
12,08/03/23 03:00:00 AM,14.6903,71.856,,,,
13,08/03/23 04:00:00 AM,14.6875,71.339,,,,
14,08/03/23 05:00:00 AM,14.6962,70.651,,,,
15,08/03/23 06:00:00 AM,14.7096,70.651,,,,
16,08/03/23 07:00:00 AM,14.7139,71.168,,,,
17,08/03/23 08:00:00 AM,14.7186,76.006,,,,
18,08/03/23 09:00:00 AM,14.7144,80.559,,,,
19,08/03/23 10:00:00 AM,14.7165,83.935,,,,
20,08/03/23 11:00:00 AM,14.7136,85.735,,,,
21,08/03/23 12:00:00 PM,14.7119,89.569,,,,
22,08/03/23 01:00:00 PM,14.7055,92.737,,,,
23,08/03/23 02:00:00 PM,14.6954,93.493,,,,
24,08/03/23 03:00:00 PM,14.6829,91.612,,,,
25,08/03/23 04:00:00 PM,14.6771,89.017,,,,
26,08/03/23 05:00:00 PM,14.6726,88.466,,,,
27,08/03/23 06:00:00 PM,14.6665,84.834,,,,
28,08/03/23 07:00:00 PM,14.6801,81.797,,,,
29,08/03/23 08:00:00 PM,14.6848,79.151,,,,
30,08/03/23 09:00:00 PM,14.6945,77.400,,,,
31,08/03/23 10:00:00 PM,14.6881,76.703,,,,
32,08/03/23 11:00:00 PM,14.6794,76.528,,,,
33,08/04/23 12:00:00 AM,14.6771,76.181,,,,
34,08/04/23 01:00:00 AM,14.6672,75.484,,,,
35,08/04/23 02:00:00 AM,14.6665,75.139,,,,
36,08/04/23 03:00:00 AM,14.6619,74.446,,,,
37,08/04/23 04:00:00 AM,14.6558,73.926,,,,
38,08/04/23 05:00:00 AM,14.6571,73.753,,,,
39,08/04/23 06:00:00 AM,14.6578,74.098,,,,
40,08/04/23 07:00:00 AM,14.6603,75.312,,,,
41,08/04/23 08:00:00 AM,14.6696,78.274,,,,
42,08/04/23 09:00:00 AM,14.6722,81.975,,,,
43,08/04/23 10:00:00 AM,14.6810,85.374,,,,
44,08/04/23 11:00:00 AM,14.6783,86.459,,,,
45,08/04/23 12:00:00 PM,14.6736,86.641,,,,
46,08/04/23 01:00:00 PM,14.6764,83.221,,,,
47,08/04/23 02:00:00 PM,14.6739,77.923,,,,
48,08/04/23 03:00:00 PM,14.6656,76.354,,,,
49,08/04/23 04:00:00 PM,14.6530,77.574,,,,
50,08/04/23 05:00:00 PM,14.6465,78.449,,,,
51,08/04/23 06:00:00 PM,14.6442,78.975,,,,
52,08/04/23 07:00:00 PM,14.6575,78.098,,,,
53,08/04/23 08:00:00 PM,14.6653,77.050,,,,
54,08/04/23 09:00:00 PM,14.6603,76.181,,,,
55,08/04/23 10:00:00 PM,14.6536,75.312,,,,
56,08/04/23 11:00:00 PM,14.6575,74.791,,,,
57,08/05/23 12:00:00 AM,14.6481,74.271,,,,
58,08/05/23 01:00:00 AM,14.6478,74.098,,,,
59,08/05/23 02:00:00 AM,14.6404,73.753,,,,
60,08/05/23 03:00:00 AM,14.6397,73.407,,,,
61,08/05/23 04:00:00 AM,14.6458,73.062,,,,
62,08/05/23 05:00:00 AM,14.6517,72.718,,,,
63,08/05/23 06:00:00 AM,14.6545,72.372,,,,
64,08/05/23 07:00:00 AM,14.6635,73.580,,,,
65,08/05/23 08:00:00 AM,14.6733,76.006,,,,
66,08/05/23 09:00:00 AM,14.6720,77.050,,,,
67,08/05/23 10:00:00 AM,14.6709,78.098,,,,
68,08/05/23 11:00:00 AM,14.6788,80.382,,,,
69,08/05/23 12:00:00 PM,14.6749,82.508,,,,
70,08/05/23 01:00:00 PM,14.6655,85.194,,,,
71,08/05/23 02:00:00 PM,14.6623,86.823,,,,
