Date,SpC,Temp_SpC,ID
2023-10-06T00:00:00Z,76.8,73.1,5
2023-10-06T00:00:00Z,107.7,74.64,5a
2023-10-06T00:00:00Z,128.1,74.52,15
2023-10-06T00:00:00Z,143.5,140.6,3
2023-10-06T00:00:00Z,150.1,77.16,7
2023-10-06T00:00:00Z,106.7,77.4,6
2023-10-06T00:00:00Z,71.9,74.05,6a
2023-10-06T00:00:00Z,200.2,74.55,9
2023-10-06T01:00:00Z,76.5,72.4,5
2023-10-06T01:00:00Z,107.4,74.61,5a
2023-10-06T01:00:00Z,127.4,74.32,15
2023-10-06T01:00:00Z,143.4,140.6,3
2023-10-06T01:00:00Z,149.7,76.93,7
2023-10-06T01:00:00Z,106.6,77,6
2023-10-06T01:00:00Z,70.8,73.9,6a
2023-10-06T01:00:00Z,199.5,74.17,9
2023-10-06T02:00:00Z,76.3,72.4,5
2023-10-06T02:00:00Z,107.7,74.59,5a
2023-10-06T02:00:00Z,127.4,74.17,15
2023-10-06T02:00:00Z,143.5,140.6,3
2023-10-06T02:00:00Z,149.7,76.77,7
2023-10-06T02:00:00Z,106.4,77,6
2023-10-06T02:00:00Z,71.2,73.49,6a
2023-10-06T02:00:00Z,198.8,73.92,9
2023-10-06T03:00:00Z,76.3,72,5
2023-10-06T03:00:00Z,108.1,74.59,5a
2023-10-06T03:00:00Z,126.7,74.05,15
2023-10-06T03:00:00Z,143.5,140.6,3
2023-10-06T03:00:00Z,149.3,76.66,7
2023-10-06T03:00:00Z,106.4,77,6
2023-10-06T03:00:00Z,70.4,73.33,6a
2023-10-06T03:00:00Z,198.8,73.71,9
2023-10-06T04:00:00Z,76.2,72,5
2023-10-06T04:00:00Z,107.4,74.61,5a
2023-10-06T04:00:00Z,126.7,73.94,15
2023-10-06T04:00:00Z,143.8,141,3
2023-10-06T04:00:00Z,149.4,76.55,7
2023-10-06T04:00:00Z,106.4,76.7,6
2023-10-06T04:00:00Z,70.4,73.4,6a
2023-10-06T04:00:00Z,198.5,73.58,9
2023-10-06T05:00:00Z,76.1,72,5
2023-10-06T05:00:00Z,108.1,74.61,5a
2023-10-06T05:00:00Z,126.3,73.83,15
2023-10-06T05:00:00Z,143.5,140.2,3
2023-10-06T05:00:00Z,150.6,76.42,7
2023-10-06T05:00:00Z,106.4,77,6
2023-10-06T05:00:00Z,70.4,73.38,6a
2023-10-06T05:00:00Z,198.9,73.51,9
2023-10-06T06:00:00Z,76.1,72,5
2023-10-06T06:00:00Z,107.7,74.59,5a
2023-10-06T06:00:00Z,126.3,73.71,15
2023-10-06T06:00:00Z,145.6,143.3,3
2023-10-06T06:00:00Z,149.4,76.26,7
2023-10-06T06:00:00Z,106.3,77,6
2023-10-06T06:00:00Z,70.4,73.24,6a
2023-10-06T06:00:00Z,198.9,73.44,9
2023-10-06T07:00:00Z,76.1,72,5
2023-10-06T07:00:00Z,107.8,74.53,5a
2023-10-06T07:00:00Z,126.3,73.54,15
2023-10-06T07:00:00Z,144,141.4,3
2023-10-06T07:00:00Z,149,76.08,7
2023-10-06T07:00:00Z,106.2,76.7,6
2023-10-06T07:00:00Z,70.4,72.88,6a
2023-10-06T07:00:00Z,198.9,73.36,9
2023-10-06T08:00:00Z,75.9,72,5
2023-10-06T08:00:00Z,107.8,74.53,5a
2023-10-06T08:00:00Z,126,73.54,15
2023-10-06T08:00:00Z,143.1,140.3,3
2023-10-06T08:00:00Z,149,75.97,7
2023-10-06T08:00:00Z,106.1,76.7,6
2023-10-06T08:00:00Z,70.4,73.2,6a
2023-10-06T08:00:00Z,199.6,73.38,9
2023-10-06T09:00:00Z,75.9,72,5
2023-10-06T09:00:00Z,107.8,74.53,5a
2023-10-06T09:00:00Z,125.6,73.56,15
2023-10-06T09:00:00Z,144,141,3
