Site,Date,CO2.water_umol.L,CO2.water.ppm,ID,surface2WT,Distance_m,DistanceID,surface_elevation_m,WT.ID,WT_elevations,well_types,qL_m2.sec,stream.w,stream.depth,CO2_molL,CO2_flux
5GW1,2025-01-30T00:00:00Z,634.1772324779497,13308.43274092075,5,0.02500000000000002,4.2672,4,4.554000000000002,4,4.529000000000002,RW,5.9112568878031105e-6,2.369574329794122,0.1761141657131801,6.341772324779497e-4,6.014320421875129
5GW1,2025-03-12T00:00:00Z,-12.200004537483323,-281.71136762966046,5,0.04,4.2672,4,4.554000000000002,4,4.514000000000002,RW,1.138535781196094e-5,1.7346006374903664,0.3289333160484501,-1.2200004537483323e-5,-0.3044202886405887
5GW2,2024-12-09T00:00:00Z,1025.8167959401662,24165.83124251481,5,-0.25,2.1336,3,4.082999999999998,3,4.332999999999998,RW,3.485996300937013e-6,5.027002492172216,0.03910915685467742,0.0010258167959401661,2.7042948802963576
5GW2,2025-01-10T00:00:00Z,1119.737053128339,25065.36543050025,5,-0.39,2.1336,3,4.082999999999998,3,4.472999999999998,RW,4.511593448978033e-6,4.696504891901518,0.04481011522629099,0.0011197370531283392,4.0891933602953525
5GW2,2025-01-30T00:00:00Z,505.6974149182624,10612.238486393771,5,0.125,2.1336,3,4.082999999999998,3,3.9579999999999984,RW,5.9112568878031105e-6,2.369574329794122,0.1761141657131801,5.056974149182623e-4,4.795861683568269
5GW2,2025-03-12T00:00:00Z,428.77014862411056,9872.437913919992,5,0.145,2.1336,3,4.082999999999998,3,3.9379999999999984,RW,1.138535781196094e-5,1.7346006374903664,0.3289333160484501,4.2877014862411055e-4,10.698875726118827
5GW2,2025-04-17T00:00:00Z,80.84831455186969,1987.3696853815215,5,-0.2700000000000001,2.1336,3,4.082999999999998,3,4.352999999999999,RW,1.016943918364715e-6,4.475636933409144,0.04940728351153666,8.08483145518697e-5,0.06983603017600488
5GW3,2024-11-01T00:00:00Z,440.2230822481684,11702.130443458536,5,0.755,1.2192,2,6.972999999999999,7,6.217999999999999,RW,3.731327954257712e-6,4.8447636126902,0.04217687132343951,4.402230822481684e-4,1.2889321582955564
5GW3,2024-12-09T00:00:00Z,2998.572521247627,68253.94699724858,5,-0.4800000000000001,1.2192,2,6.972999999999999,7,7.452999999999999,RW,3.485996300937013e-6,5.027002492172216,0.03910915685467742,0.002998572521247627,7.904943991461299
5GW3,2025-01-10T00:00:00Z,2537.76359456592,60640.51354899454,5,-0.28500000000000003,1.2192,2,6.972999999999999,7,7.257999999999999,RW,4.511593448978033e-6,4.696504891901518,0.04481011522629099,0.00253776359456592,9.267716926849625
