ID,Date,POC_mgL,DIC,DOC,depth,pH,Q
7,2024-08-01T00:00:00Z,NA,156.9,146.1,NA,NA,NA
3,2024-08-01T00:00:00Z,NA,262.5,252.6,NA,3.540874960149035,NA
13,2024-08-01T00:00:00Z,NA,83.96,-2.401,NA,NA,NA
5a,2024-07-29T00:00:00Z,NA,134.2,127.4,0.4161984905787993,NA,12.699416769525811
9,2024-07-29T00:00:00Z,7.992895204262787,183.1,179.6,0.1471753870780471,NA,79.40010893910134
6a,2024-07-29T00:00:00Z,6.749555950266476,137,128.9,0.101153427761401,NA,4.058509716376564
6,2024-07-29T00:00:00Z,10.8303249097473,161.8,152.9,0.1416477942046799,4.066213430898106,66.60430854964233
5,2024-07-29T00:00:00Z,10.106382978723474,143.7,139.5,0.4438312037230132,3.7501586589638625,328.98931102679586
15,2024-07-11T00:00:00Z,6.902985074626933,10.38323,131.518,0.23609790544256412,3.6895705489832342,40.1458581560506
5,2024-07-11T00:00:00Z,-0.18181818181816178,36.08801,113.523,0.2567094279643104,3.6253538089270823,213.89510454024432
7,2024-07-11T00:00:00Z,12.226277372262642,12.64658,114.054,0.14855718340807308,NA,7.415801914608087
6,2024-07-11T00:00:00Z,2.6465028355384606,15.28811,172.169,-0.01331728845275838,3.685606960047733,NA
6a,2024-07-11T00:00:00Z,-1.2433392539967052,9.19139,243.323,-0.27789386879473044,NA,NA
6,2024-05-30T00:00:00Z,1.7733990147783487,86.32,82.72,-0.10086146354110864,3.8387383085656577,NA
13,2024-05-30T00:00:00Z,3.2258064516127654,40.65,-3.25,-0.09504718474677598,7.762656344208348,NA
5,2024-05-30T00:00:00Z,6.179066834804699,15.66,13.54,-0.02134270156652197,5.0556432105882205,NA
13,2024-05-08T00:00:00Z,1.6666666666666885,30.1,-8.386,-0.01964777666929125,7.813426927366678,NA
3,2024-05-08T00:00:00Z,8.04828973843059,101.5,97.21,0.1958690661437267,3.631042072389051,1.057725759990333
5,2024-05-08T00:00:00Z,1.9848771266540555,11.42,8.778,0.030934675715505,5.058557392586328,32.69138532544438
5,2024-04-18T00:00:00Z,NA,30.09,28.28,0.08740681663181497,4.236432120210279,68.42146941304684
3,2024-04-18T00:00:00Z,NA,77.21,74.16,0.35202916867372186,3.550740298186393,12.825404015590308
6a,2024-04-18T00:00:00Z,45.10250569476091,54.76,51.86,-0.01953653389824256,NA,NA
6,2024-04-18T00:00:00Z,6.4864864864861715,57.61,53.87,0.11567169330142904,3.815574170482266,56.49379098419944
7,2024-04-18T00:00:00Z,NA,67.48,62.51,0.180967314661902,3.6538887722619737,10.312119187607031
