7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1716998400,+3.52,+22.503, +3.859,+0.934
1717002000,+3.51,+23.214, +4.034,+0.933
1717005600,+3.51,+23.968, +4.212,+0.934
1717009200,+3.52,+24.497, +4.348,+0.933
1717012800,+3.52,+24.749, +5.099,+0.924
1717016400,+3.51,+25.195, +6.137,+0.916
1717020000,+3.52,+25.102, +7.089,+0.924
1717023600,+3.52,+24.959, +7.235,+0.924
1717027200,+3.52,+24.598, +7.187,+0.924
1717030800,+3.52,+23.826, +7.785,+0.933
1717034400,+3.52,+23.231, +6.537,+0.929
1717038000,+3.52,+22.586, +5.174,+0.934
1717041600,+3.52,+21.976, +5.353,+0.935
1717045200,+3.52,+21.465, +4.817,+0.936
1717048800,+3.52,+20.913, +4.497,+0.936
1717052400,+3.52,+20.495, +4.039,+0.936
1717056000,+3.52,+20.109, +4.233,+0.936
1717059600,+3.52,+19.816, +4.047,+0.936
1717063200,+3.52,+19.539, +4.303,+0.937
1717066800,+3.52,+19.304, +4.101,+0.937
1717070400,+3.52,+19.287, +3.919,+0.936
1717074000,+3.52,+19.606, +3.744,+0.936
1717077600,+3.52,+20.118, +3.751,+0.935
1717081200,+3.52,+20.871, +3.982,+0.934
1717084800,+3.52,+21.775, +4.100,+0.934
