"Plot Title: 9_DO_02082024_9"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10926094, SEN S/N: 10926094)","Temp, °F (LGR S/N: 10926094, SEN S/N: 10926094)","Coupler Attached (LGR S/N: 10926094, SEN S/N: 10926094)","Stopped (LGR S/N: 10926094, SEN S/N: 10926094)","End Of File (LGR S/N: 10926094, SEN S/N: 10926094)"
1,07/11/24 05:00:00 PM,7.24,92.37,,,
2,07/11/24 06:00:00 PM,7.04,93.60,,,
3,07/11/24 07:00:00 PM,7.58,85.78,,,
4,07/11/24 08:00:00 PM,7.87,82.00,,,
5,07/11/24 09:00:00 PM,8.14,78.94,,,
6,07/11/24 10:00:00 PM,8.34,76.50,,,
7,07/11/24 11:00:00 PM,8.44,75.42,,,
8,07/12/24 12:00:00 AM,8.51,74.73,,,
9,07/12/24 01:00:00 AM,8.63,73.22,,,
10,07/12/24 02:00:00 AM,8.73,72.32,,,
11,07/12/24 03:00:00 AM,8.81,71.35,,,
12,07/12/24 04:00:00 AM,8.87,70.70,,,
13,07/12/24 05:00:00 AM,8.91,70.27,,,
14,07/12/24 06:00:00 AM,8.95,70.05,,,
15,07/12/24 07:00:00 AM,8.98,69.73,,,
16,07/12/24 08:00:00 AM,8.82,71.67,,,
17,07/12/24 09:00:00 AM,8.45,75.81,,,
18,07/12/24 10:00:00 AM,8.12,80.38,,,
19,07/12/24 11:00:00 AM,7.62,87.73,,,
20,07/12/24 12:00:00 PM,7.44,89.49,,,
21,07/12/24 01:00:00 PM,7.32,91.40,,,
22,07/12/24 02:00:00 PM,7.16,96.15,,,
23,07/12/24 03:00:00 PM,7.17,93.45,,,
24,07/12/24 04:00:00 PM,7.21,92.84,,,
25,07/12/24 05:00:00 PM,7.06,97.88,,,
26,07/12/24 06:00:00 PM,6.56,100.44,,,
27,07/12/24 07:00:00 PM,7.54,87.33,,,
28,07/12/24 08:00:00 PM,7.85,82.80,,,
29,07/12/24 09:00:00 PM,8.07,79.95,,,
30,07/12/24 10:00:00 PM,8.28,77.61,,,
31,07/12/24 11:00:00 PM,8.35,77.07,,,
32,07/13/24 12:00:00 AM,8.46,75.70,,,
33,07/13/24 01:00:00 AM,8.55,74.66,,,
34,07/13/24 02:00:00 AM,8.63,73.69,,,
35,07/13/24 03:00:00 AM,8.72,72.68,,,
36,07/13/24 04:00:00 AM,8.77,72.18,,,
37,07/13/24 05:00:00 AM,8.85,71.60,,,
38,07/13/24 06:00:00 AM,8.90,70.95,,,
39,07/13/24 07:00:00 AM,8.96,70.59,,,
40,07/13/24 08:00:00 AM,8.79,72.28,,,
41,07/13/24 09:00:00 AM,8.37,76.82,,,
42,07/13/24 10:00:00 AM,7.95,82.54,,,
43,07/13/24 11:00:00 AM,7.53,90.14,,,
44,07/13/24 12:00:00 PM,7.39,91.29,,,
45,07/13/24 01:00:00 PM,7.42,91.54,,,
46,07/13/24 02:00:00 PM,7.23,92.77,,,
47,07/13/24 03:00:00 PM,7.21,93.88,,,
48,07/13/24 04:00:00 PM,7.14,96.48,,,
49,07/13/24 05:00:00 PM,6.81,102.06,,,
50,07/13/24 06:00:00 PM,6.21,107.92,,,
51,07/13/24 07:00:00 PM,7.28,91.76,,,
52,07/13/24 08:00:00 PM,7.53,88.16,,,
53,07/13/24 09:00:00 PM,7.75,84.88,,,
54,07/13/24 10:00:00 PM,8.00,81.28,,,
55,07/13/24 11:00:00 PM,8.18,79.12,,,
56,07/14/24 12:00:00 AM,8.29,77.76,,,
57,07/14/24 01:00:00 AM,8.39,76.53,,,
58,07/14/24 02:00:00 AM,8.44,75.99,,,
59,07/14/24 03:00:00 AM,8.46,75.56,,,
60,07/14/24 04:00:00 AM,8.46,75.88,,,
61,07/14/24 05:00:00 AM,8.40,76.32,,,
62,07/14/24 06:00:00 AM,8.39,76.46,,,
63,07/14/24 07:00:00 AM,8.51,75.27,,,
64,07/14/24 08:00:00 AM,8.42,76.24,,,
65,07/14/24 09:00:00 AM,8.12,80.06,,,
66,07/14/24 10:00:00 AM,7.85,83.95,,,
67,07/14/24 11:00:00 AM,7.47,90.79,,,
68,07/14/24 12:00:00 PM,7.41,91.04,,,
