"Plot Title: Bradford_14cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21415362, SEN S/N: 21415362)","Temp, °F (LGR S/N: 21415362, SEN S/N: 21415362)"
1,05/01/23 01:00:00 PM,167.6,68.29
2,05/01/23 02:00:00 PM,168.7,68.59
3,05/01/23 03:00:00 PM,169.4,68.81
4,05/01/23 04:00:00 PM,170.1,68.94
5,05/01/23 05:00:00 PM,170.5,69.04
6,05/01/23 06:00:00 PM,170.5,69.13
7,05/01/23 07:00:00 PM,170.9,69.26
8,05/01/23 08:00:00 PM,172.3,69.40
9,05/01/23 09:00:00 PM,172.3,69.28
10,05/01/23 10:00:00 PM,172.4,69.03
11,05/01/23 11:00:00 PM,171.6,68.76
12,05/02/23 12:00:00 AM,170.9,68.52
13,05/02/23 01:00:00 AM,170.6,68.27
14,05/02/23 02:00:00 AM,169.5,67.98
15,05/02/23 03:00:00 AM,169.5,67.66
16,05/02/23 04:00:00 AM,168.4,67.37
17,05/02/23 05:00:00 AM,167.7,67.06
18,05/02/23 06:00:00 AM,167.7,66.96
19,05/02/23 07:00:00 AM,167.7,66.92
20,05/02/23 08:00:00 AM,168.1,66.92
21,05/02/23 09:00:00 AM,168.1,66.97
22,05/02/23 10:00:00 AM,169.6,67.06
23,05/02/23 11:00:00 AM,169.6,67.19
24,05/02/23 12:00:00 PM,170.6,67.69
25,05/02/23 01:00:00 PM,170.6,67.78
26,05/02/23 02:00:00 PM,172.1,68.23
27,05/02/23 03:00:00 PM,172.4,68.43
28,05/02/23 04:00:00 PM,171.7,68.59
29,05/02/23 05:00:00 PM,172.4,68.68
30,05/02/23 06:00:00 PM,173.1,68.76
31,05/02/23 07:00:00 PM,173.9,68.88
32,05/02/23 08:00:00 PM,173.5,68.70
33,05/02/23 09:00:00 PM,173.2,68.34
34,05/02/23 10:00:00 PM,171.0,67.95
35,05/02/23 11:00:00 PM,170.3,67.55
36,05/03/23 12:00:00 AM,169.6,67.24
37,05/03/23 01:00:00 AM,168.8,66.99
38,05/03/23 02:00:00 AM,168.1,66.78
39,05/03/23 03:00:00 AM,167.8,66.56
40,05/03/23 04:00:00 AM,167.4,66.38
41,05/03/23 05:00:00 AM,167.4,66.16
42,05/03/23 06:00:00 AM,167.4,65.97
43,05/03/23 07:00:00 AM,167.1,65.75
44,05/03/23 08:00:00 AM,167.1,65.62
45,05/03/23 09:00:00 AM,167.5,65.68
46,05/03/23 10:00:00 AM,167.5,65.82
47,05/03/23 11:00:00 AM,167.8,65.93
48,05/03/23 12:00:00 PM,167.8,66.49
49,05/03/23 01:00:00 PM,168.9,66.54
50,05/03/23 02:00:00 PM,170.3,67.14
51,05/03/23 03:00:00 PM,171.0,67.32
52,05/03/23 04:00:00 PM,171.4,67.44
