"Plot Title: Bradford_15con"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342068, SEN S/N: 20342068)","Temp, °F (LGR S/N: 20342068, SEN S/N: 20342068)"
1,12/08/22 04:00:00 PM,87.4,70.75
2,12/08/22 04:15:00 PM,87.4,70.65
3,12/08/22 04:30:00 PM,87.4,70.57
4,12/08/22 04:45:00 PM,87.0,70.50
5,12/08/22 05:00:00 PM,86.6,70.34
6,12/08/22 05:15:00 PM,85.9,70.07
7,12/08/22 05:30:00 PM,85.1,69.82
8,12/08/22 05:45:00 PM,84.3,69.48
9,12/08/22 06:00:00 PM,84.3,69.26
10,12/08/22 06:15:00 PM,83.9,69.01
11,12/08/22 06:30:00 PM,83.5,68.77
12,12/08/22 06:45:00 PM,83.5,68.52
13,12/08/22 07:00:00 PM,84.3,68.27
14,12/08/22 07:15:00 PM,83.9,68.09
15,12/08/22 07:30:00 PM,84.3,68.05
16,12/08/22 07:45:00 PM,84.4,67.98
17,12/08/22 08:00:00 PM,84.0,67.82
18,12/08/22 08:15:00 PM,83.6,67.62
19,12/08/22 08:30:00 PM,83.6,67.42
20,12/08/22 08:45:00 PM,83.6,67.19
21,12/08/22 09:00:00 PM,84.0,67.05
22,12/08/22 09:15:00 PM,83.2,66.90
23,12/08/22 09:30:00 PM,82.8,66.72
24,12/08/22 09:45:00 PM,82.8,66.52
25,12/08/22 10:00:00 PM,82.8,66.40
26,12/08/22 10:15:00 PM,82.4,66.24
27,12/08/22 10:30:00 PM,82.4,66.07
28,12/08/22 10:45:00 PM,82.0,65.95
29,12/08/22 11:00:00 PM,82.0,65.79
30,12/08/22 11:15:00 PM,82.0,65.71
31,12/08/22 11:30:00 PM,81.2,65.55
32,12/08/22 11:45:00 PM,81.7,65.37
33,12/09/22 12:00:00 AM,80.9,65.26
34,12/09/22 12:15:00 AM,80.9,65.08
35,12/09/22 12:30:00 AM,80.9,64.90
36,12/09/22 12:45:00 AM,80.9,64.76
37,12/09/22 01:00:00 AM,80.5,64.74
38,12/09/22 01:15:00 AM,79.7,64.62
39,12/09/22 01:30:00 AM,79.7,64.47
40,12/09/22 01:45:00 AM,79.7,64.35
41,12/09/22 02:00:00 AM,79.7,64.20
42,12/09/22 02:15:00 AM,79.7,64.06
43,12/09/22 02:30:00 AM,79.3,64.02
44,12/09/22 02:45:00 AM,79.3,63.82
45,12/09/22 03:00:00 AM,79.3,63.64
46,12/09/22 03:15:00 AM,78.9,63.54
47,12/09/22 03:30:00 AM,78.9,63.46
48,12/09/22 03:45:00 AM,78.9,63.30
49,12/09/22 04:00:00 AM,78.9,63.30
50,12/09/22 04:15:00 AM,78.9,63.18
51,12/09/22 04:30:00 AM,78.9,63.10
52,12/09/22 04:45:00 AM,78.9,63.09
53,12/09/22 05:00:00 AM,78.5,62.94
54,12/09/22 05:15:00 AM,78.5,62.87
55,12/09/22 05:30:00 AM,78.2,62.73
56,12/09/22 05:45:00 AM,78.2,62.65
57,12/09/22 06:00:00 AM,78.2,62.56
58,12/09/22 06:15:00 AM,78.2,62.44
59,12/09/22 06:30:00 AM,77.8,62.56
60,12/09/22 06:45:00 AM,77.4,62.33
61,12/09/22 07:00:00 AM,77.4,62.15
62,12/09/22 07:15:00 AM,76.6,61.95
63,12/09/22 07:30:00 AM,76.6,61.84
64,12/09/22 07:45:00 AM,77.0,61.77
65,12/09/22 08:00:00 AM,76.6,61.70
66,12/09/22 08:15:00 AM,76.6,61.68
67,12/09/22 08:30:00 AM,76.6,61.90
68,12/09/22 08:45:00 AM,77.0,61.97
69,12/09/22 09:00:00 AM,77.4,62.29
70,12/09/22 09:15:00 AM,78.1,63.00
71,12/09/22 09:30:00 AM,79.3,63.81
72,12/09/22 09:45:00 AM,80.1,64.78
73,12/09/22 10:00:00 AM,80.8,65.62
74,12/09/22 10:15:00 AM,81.2,66.25
75,12/09/22 10:30:00 AM,81.6,67.50
76,12/09/22 10:45:00 AM,83.9,69.75
77,12/09/22 11:00:00 AM,85.8,70.83
78,12/09/22 11:15:00 AM,85.8,70.97
79,12/09/22 11:30:00 AM,85.8,70.99
80,12/09/22 11:45:00 AM,85.8,70.92
81,12/09/22 12:00:00 PM,85.8,70.83
82,12/09/22 12:15:00 PM,85.8,71.74
83,12/09/22 12:30:00 PM,86.5,72.19
84,12/09/22 12:45:00 PM,85.8,71.80
85,12/09/22 01:00:00 PM,85.8,71.73
86,12/09/22 01:15:00 PM,87.3,73.51
87,12/09/22 01:30:00 PM,87.7,73.99
88,12/09/22 01:45:00 PM,87.3,73.62
89,12/09/22 02:00:00 PM,86.9,72.55
90,12/09/22 02:15:00 PM,87.3,72.95
91,12/09/22 02:30:00 PM,86.6,72.12
92,12/09/22 02:45:00 PM,85.8,71.73
93,12/09/22 03:00:00 PM,85.8,71.60
94,12/09/22 03:15:00 PM,85.8,71.38
95,12/09/22 03:30:00 PM,84.6,71.20
96,12/09/22 03:45:00 PM,84.2,71.01
97,12/09/22 04:00:00 PM,84.2,70.97
98,12/09/22 04:15:00 PM,84.2,70.57
99,12/09/22 04:30:00 PM,83.4,70.20
100,12/09/22 04:45:00 PM,83.9,69.89
101,12/09/22 05:00:00 PM,83.1,69.58
102,12/09/22 05:15:00 PM,82.3,69.26
103,12/09/22 05:30:00 PM,78.3,68.88
104,12/09/22 05:45:00 PM,71.0,68.56
105,12/09/22 06:00:00 PM,56.1,68.09
106,12/09/22 06:15:00 PM,22.8,67.62
107,12/09/22 06:30:00 PM,6.4,67.24
108,12/09/22 06:45:00 PM,1.5,67.03
109,12/09/22 07:00:00 PM,-0.5,66.81
110,12/09/22 07:15:00 PM,-1.3,66.52
111,12/09/22 07:30:00 PM,-1.7,66.24
112,12/09/22 07:45:00 PM,-1.7,65.91
113,12/09/22 08:00:00 PM,-2.5,65.64
114,12/09/22 08:15:00 PM,-2.5,65.43
115,12/09/22 08:30:00 PM,-2.5,65.19
116,12/09/22 08:45:00 PM,-2.5,64.92
117,12/09/22 09:00:00 PM,-2.5,64.69
118,12/09/22 09:15:00 PM,-2.1,64.45
119,12/09/22 09:30:00 PM,-2.9,64.24
120,12/09/22 09:45:00 PM,-2.9,63.86
121,12/09/22 10:00:00 PM,-2.9,63.68
122,12/09/22 10:15:00 PM,-2.9,63.36
123,12/09/22 10:30:00 PM,-2.9,63.30
124,12/09/22 10:45:00 PM,-2.9,63.23
125,12/09/22 11:00:00 PM,-2.8,63.01
126,12/09/22 11:15:00 PM,-2.8,62.92
127,12/09/22 11:30:00 PM,-2.0,62.69
128,12/09/22 11:45:00 PM,-2.0,62.56
129,12/10/22 12:00:00 AM,-2.0,62.42
130,12/10/22 12:15:00 AM,-2.0,62.13
131,12/10/22 12:30:00 AM,-2.0,62.11
132,12/10/22 12:45:00 AM,-2.0,61.99
133,12/10/22 01:00:00 AM,-2.0,61.83
134,12/10/22 01:15:00 AM,-2.0,61.66
135,12/10/22 01:30:00 AM,-2.0,61.68
136,12/10/22 01:45:00 AM,-2.0,61.48
137,12/10/22 02:00:00 AM,-2.0,61.34
138,12/10/22 02:15:00 AM,-2.0,61.38
139,12/10/22 02:30:00 AM,-2.0,61.25
140,12/10/22 02:45:00 AM,-2.0,61.11
141,12/10/22 03:00:00 AM,-2.0,61.02
142,12/10/22 03:15:00 AM,-2.0,60.85
143,12/10/22 03:30:00 AM,-2.0,60.80
144,12/10/22 03:45:00 AM,-2.4,60.73
145,12/10/22 04:00:00 AM,-2.8,60.71
146,12/10/22 04:15:00 AM,-2.8,60.57
147,12/10/22 04:30:00 AM,-2.0,60.49
148,12/10/22 04:45:00 AM,-2.8,60.28
149,12/10/22 05:00:00 AM,-2.8,60.21
150,12/10/22 05:15:00 AM,-2.4,60.22
151,12/10/22 05:30:00 AM,-2.0,60.10
152,12/10/22 05:45:00 AM,-2.0,60.06
153,12/10/22 06:00:00 AM,-2.4,59.99
154,12/10/22 06:15:00 AM,-2.4,59.86
155,12/10/22 06:30:00 AM,-2.4,59.70
156,12/10/22 06:45:00 AM,-2.4,59.56
157,12/10/22 07:00:00 AM,-2.8,59.47
158,12/10/22 07:15:00 AM,-2.0,59.50
159,12/10/22 07:30:00 AM,-2.4,59.56
160,12/10/22 07:45:00 AM,-2.4,59.65
161,12/10/22 08:00:00 AM,-2.4,59.77
162,12/10/22 08:15:00 AM,-2.4,59.94
163,12/10/22 08:30:00 AM,-2.4,60.30
164,12/10/22 08:45:00 AM,-2.4,60.60
165,12/10/22 09:00:00 AM,-1.6,61.11
166,12/10/22 09:15:00 AM,-1.6,61.97
167,12/10/22 09:30:00 AM,-1.6,62.71
168,12/10/22 09:45:00 AM,-1.2,63.57
169,12/10/22 10:00:00 AM,-1.2,64.47
170,12/10/22 10:15:00 AM,-1.3,65.43
171,12/10/22 10:30:00 AM,-0.9,66.87
172,12/10/22 10:45:00 AM,-0.9,69.01
173,12/10/22 11:00:00 AM,-0.9,70.05
174,12/10/22 11:15:00 AM,-0.9,70.47
175,12/10/22 11:30:00 AM,-0.9,70.77
176,12/10/22 11:45:00 AM,-0.9,71.29
177,12/10/22 12:00:00 PM,-0.9,71.53
178,12/10/22 12:15:00 PM,-0.9,72.30
179,12/10/22 12:30:00 PM,-0.9,72.97
180,12/10/22 12:45:00 PM,-0.9,72.66
181,12/10/22 01:00:00 PM,-0.9,72.70
182,12/10/22 01:15:00 PM,-0.1,75.06
183,12/10/22 01:30:00 PM,-0.1,75.33
184,12/10/22 01:45:00 PM,1.1,74.82
185,12/10/22 02:00:00 PM,0.3,72.09
186,12/10/22 02:15:00 PM,1.1,72.52
187,12/10/22 02:30:00 PM,1.9,71.29
188,12/10/22 02:45:00 PM,3.1,70.90
189,12/10/22 03:00:00 PM,5.5,69.94
190,12/10/22 03:15:00 PM,6.7,69.75
191,12/10/22 03:30:00 PM,7.9,69.24
192,12/10/22 03:45:00 PM,8.7,68.86
193,12/10/22 04:00:00 PM,10.0,68.56
194,12/10/22 04:15:00 PM,10.0,68.31
195,12/10/22 04:30:00 PM,10.4,68.29
196,12/10/22 04:45:00 PM,10.4,68.27
197,12/10/22 05:00:00 PM,10.0,68.14
198,12/10/22 05:15:00 PM,10.0,67.89
199,12/10/22 05:30:00 PM,10.0,67.62
200,12/10/22 05:45:00 PM,9.6,67.41
201,12/10/22 06:00:00 PM,9.2,67.28
202,12/10/22 06:15:00 PM,8.8,67.10
203,12/10/22 06:30:00 PM,8.8,66.83
204,12/10/22 06:45:00 PM,8.4,66.52
205,12/10/22 07:00:00 PM,8.0,66.16
206,12/10/22 07:15:00 PM,7.6,65.98
207,12/10/22 07:30:00 PM,8.0,66.04
208,12/10/22 07:45:00 PM,8.0,65.84
209,12/10/22 08:00:00 PM,8.4,65.66
210,12/10/22 08:15:00 PM,9.2,65.35
211,12/10/22 08:30:00 PM,9.6,65.41
212,12/10/22 08:45:00 PM,10.0,65.14
213,12/10/22 09:00:00 PM,10.4,65.16
214,12/10/22 09:15:00 PM,11.2,64.96
215,12/10/22 09:30:00 PM,11.2,64.81
216,12/10/22 09:45:00 PM,10.8,64.83
217,12/10/22 10:00:00 PM,10.8,64.67
218,12/10/22 10:15:00 PM,10.4,64.63
219,12/10/22 10:30:00 PM,10.0,64.60
220,12/10/22 10:45:00 PM,10.0,64.38
221,12/10/22 11:00:00 PM,9.6,64.40
222,12/10/22 11:15:00 PM,8.8,64.17
223,12/10/22 11:30:00 PM,8.8,64.04
224,12/10/22 11:45:00 PM,8.4,63.88
225,12/11/22 12:00:00 AM,8.4,63.79
226,12/11/22 12:15:00 AM,8.0,63.75
227,12/11/22 12:30:00 AM,8.0,63.68
228,12/11/22 12:45:00 AM,8.0,63.57
229,12/11/22 01:00:00 AM,8.0,63.59
