#,Date,"Full Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Temp, °F (LGR S/N: 10778446, SEN S/N: 10778446)"
1,9/14/2022 10:30,0.6,88.12
2,9/14/2022 10:45,9.4,87.28
3,9/14/2022 11:00,2.1,87.35
4,9/14/2022 11:15,2.1,86.52
5,9/14/2022 11:30,2.1,87.96
6,9/14/2022 11:45,0.6,89.67
7,9/14/2022 12:00,2.1,91.11
8,9/14/2022 12:15,0.6,92.14
9,9/14/2022 12:30,0.6,92.98
10,9/14/2022 12:45,0.6,95.5
11,9/14/2022 13:00,0.6,93.34
12,9/14/2022 13:15,0.6,89.98
13,9/14/2022 13:30,98.5,75.7
14,9/14/2022 13:45,98.5,75.79
15,9/14/2022 14:00,98.9,75.9
16,9/14/2022 14:15,98.9,75.94
17,9/14/2022 14:30,98.9,76.03
18,9/14/2022 14:45,99.2,76.14
19,9/14/2022 15:00,99.2,76.23
20,9/14/2022 15:15,99.2,76.33
21,9/14/2022 15:30,100,76.41
22,9/14/2022 15:45,99.6,76.5
23,9/14/2022 16:00,100,76.57
24,9/14/2022 16:15,100,76.64
25,9/14/2022 16:30,100.4,76.75
26,9/14/2022 16:45,100.7,76.78
27,9/14/2022 17:00,100.7,76.84
28,9/14/2022 17:15,100.7,76.87
29,9/14/2022 17:30,101.1,76.93
30,9/14/2022 17:45,101.1,76.95
31,9/14/2022 18:00,101.1,76.98
32,9/14/2022 18:15,101.1,77
33,9/14/2022 18:30,101.1,77.02
34,9/14/2022 18:45,101.5,77.02
35,9/14/2022 19:00,101.1,77
36,9/14/2022 19:15,101.5,77
37,9/14/2022 19:30,101.5,76.98
38,9/14/2022 19:45,101.5,76.95
39,9/14/2022 20:00,101.5,76.93
40,9/14/2022 20:15,101.5,76.91
41,9/14/2022 20:30,101.5,76.86
42,9/14/2022 20:45,101.5,76.8
43,9/14/2022 21:00,101.5,76.77
44,9/14/2022 21:15,101.5,76.75
45,9/14/2022 21:30,101.5,76.68
46,9/14/2022 21:45,101.5,76.62
47,9/14/2022 22:00,101.5,76.55
48,9/14/2022 22:15,101.5,76.5
49,9/14/2022 22:30,101.5,76.46
50,9/14/2022 22:45,101.5,76.37
51,9/14/2022 23:00,101.2,76.32
52,9/14/2022 23:15,101.5,76.24
53,9/14/2022 23:30,101.2,76.17
54,9/14/2022 23:45,101.6,76.1
55,9/15/2022 0:00,101.2,76.03
56,9/15/2022 0:15,101.2,75.96
57,9/15/2022 0:30,101.2,75.92
58,9/15/2022 0:45,101.2,75.85
59,9/15/2022 1:00,101.2,75.78
60,9/15/2022 1:15,101.2,75.7
61,9/15/2022 1:30,101.2,75.65
62,9/15/2022 1:45,100.8,75.6
63,9/15/2022 2:00,101.2,75.52
64,9/15/2022 2:15,101.2,75.45
65,9/15/2022 2:30,100.8,75.4
66,9/15/2022 2:45,101.2,75.33
67,9/15/2022 3:00,100.8,75.31
68,9/15/2022 3:15,100.8,75.24
69,9/15/2022 3:30,100.8,75.16
70,9/15/2022 3:45,100.8,75.09
71,9/15/2022 4:00,100.8,75.04
72,9/15/2022 4:15,100.8,75
73,9/15/2022 4:30,100.9,74.95
74,9/15/2022 4:45,100.9,74.91
75,9/15/2022 5:00,100.9,74.86
76,9/15/2022 5:15,100.9,74.79
77,9/15/2022 5:30,100.5,74.75
78,9/15/2022 5:45,100.5,74.7
79,9/15/2022 6:00,100.5,74.64
80,9/15/2022 6:15,100.5,74.61
81,9/15/2022 6:30,100.9,74.55
82,9/15/2022 6:45,100.5,74.5
83,9/15/2022 7:00,100.5,74.46
84,9/15/2022 7:15,100.5,74.41
85,9/15/2022 7:30,100.5,74.37
86,9/15/2022 7:45,100.9,74.32
87,9/15/2022 8:00,100.1,74.3
88,9/15/2022 8:15,100.5,74.25
89,9/15/2022 8:30,100.5,74.23
90,9/15/2022 8:45,100.5,74.19
91,9/15/2022 9:00,100.9,74.17
92,9/15/2022 9:15,100.9,74.17
93,9/15/2022 9:30,100.9,74.16
94,9/15/2022 9:45,100.9,74.17
95,9/15/2022 10:00,100.9,74.19
96,9/15/2022 10:15,100.9,74.19
97,9/15/2022 10:30,100.9,74.25
98,9/15/2022 10:45,100.9,74.3
99,9/15/2022 11:00,100.9,74.32
100,9/15/2022 11:15,101.3,74.39
101,9/15/2022 11:30,101.3,74.46
102,9/15/2022 11:45,101.3,74.53
103,9/15/2022 12:00,101.6,74.62
104,9/15/2022 12:15,101.6,74.7
105,9/15/2022 12:30,101.6,74.77
106,9/15/2022 12:45,102,74.86
107,9/15/2022 13:00,102,74.98
108,9/15/2022 13:15,102.4,75.07
109,9/15/2022 13:30,102.4,75.22
110,9/15/2022 13:45,102.8,75.34
111,9/15/2022 14:00,102.8,75.45
112,9/15/2022 14:15,102.7,75.56
113,9/15/2022 14:30,103.1,75.61
114,9/15/2022 14:45,103.1,75.72
115,9/15/2022 15:00,103.1,75.83
116,9/15/2022 15:15,103.5,75.92
117,9/15/2022 15:30,103.5,76.03
118,9/15/2022 15:45,103.9,76.14
119,9/15/2022 16:00,103.9,76.19
120,9/15/2022 16:15,104.2,76.32
121,9/15/2022 16:30,104.6,76.46
122,9/15/2022 16:45,104.6,76.55
123,9/15/2022 17:00,105,76.68
124,9/15/2022 17:15,105,76.71
125,9/15/2022 17:30,105,76.75
126,9/15/2022 17:45,105,76.77
127,9/15/2022 18:00,105,76.78
128,9/15/2022 18:15,105,76.8
129,9/15/2022 18:30,105.4,76.8
130,9/15/2022 18:45,105.4,76.8
131,9/15/2022 19:00,105.4,76.78
132,9/15/2022 19:15,105.8,76.77
133,9/15/2022 19:30,105.8,76.77
134,9/15/2022 19:45,105.8,76.75
135,9/15/2022 20:00,105.8,76.69
136,9/15/2022 20:15,105.8,76.64
137,9/15/2022 20:30,105.8,76.62
138,9/15/2022 20:45,105.8,76.57
139,9/15/2022 21:00,105.8,76.53
140,9/15/2022 21:15,105.8,76.46
141,9/15/2022 21:30,105.8,76.39
142,9/15/2022 21:45,105.8,76.32
143,9/15/2022 22:00,105.8,76.24
144,9/15/2022 22:15,105.8,76.17
145,9/15/2022 22:30,105.8,76.1
