#,"Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10778438, SEN S/N: 10778438)","Temp, °F (LGR S/N: 10778438, SEN S/N: 10778438)"
1,4/3/2023 14:00,107.5,66.85
2,4/3/2023 14:15,108.6,66.99
3,4/3/2023 14:30,109.7,67.15
4,4/3/2023 14:45,110.1,67.3
5,4/3/2023 15:00,110.9,67.46
6,4/3/2023 15:15,110.8,67.66
7,4/3/2023 15:30,110.5,67.82
8,4/3/2023 15:45,111.6,67.96
9,4/3/2023 16:00,112,68.07
10,4/3/2023 16:15,112.3,68.2
11,4/3/2023 16:30,112.7,68.34
12,4/3/2023 16:45,112.3,68.41
13,4/3/2023 17:00,112.7,68.47
14,4/3/2023 17:15,113.1,68.68
15,4/3/2023 17:30,109.7,68.13
16,4/3/2023 17:45,106.3,67.82
17,4/3/2023 18:00,103.3,67.46
18,4/3/2023 18:15,102.9,67.26
19,4/3/2023 18:30,101,67.19
20,4/3/2023 18:45,99.9,67.15
21,4/3/2023 19:00,99.5,67.1
22,4/3/2023 19:15,99.5,67.06
23,4/3/2023 19:30,99.9,67.03
24,4/3/2023 19:45,99.9,66.99
25,4/3/2023 20:00,99.9,66.99
26,4/3/2023 20:15,99.5,66.96
27,4/3/2023 20:30,99.9,66.87
28,4/3/2023 20:45,100.2,66.85
29,4/3/2023 21:00,102.5,66.81
30,4/3/2023 21:15,101.8,66.74
31,4/3/2023 21:30,102.5,66.67
32,4/3/2023 21:45,101.8,66.58
33,4/3/2023 22:00,101,66.51
34,4/3/2023 22:15,100.7,66.43
35,4/3/2023 22:30,100.7,66.36
36,4/3/2023 22:45,100.7,66.27
37,4/3/2023 23:00,99.9,66.2
38,4/3/2023 23:15,99.9,66.13
39,4/3/2023 23:30,100.3,66.04
40,4/3/2023 23:45,99.9,65.98
41,4/4/2023 0:00,99.5,65.91
42,4/4/2023 0:15,99.5,65.84
43,4/4/2023 0:30,99.2,65.79
44,4/4/2023 0:45,99.2,65.71
45,4/4/2023 1:00,98.8,65.64
46,4/4/2023 1:15,99.2,65.57
47,4/4/2023 1:30,98.8,65.5
48,4/4/2023 1:45,98.8,65.44
49,4/4/2023 2:00,98.4,65.39
50,4/4/2023 2:15,98.4,65.3
51,4/4/2023 2:30,98.1,65.25
52,4/4/2023 2:45,98.1,65.17
53,4/4/2023 3:00,98.4,65.1
54,4/4/2023 3:15,97.7,65.03
55,4/4/2023 3:30,97.7,64.96
56,4/4/2023 3:45,97.7,64.9
57,4/4/2023 4:00,97.7,64.81
58,4/4/2023 4:15,97.3,64.74
59,4/4/2023 4:30,97.3,64.69
60,4/4/2023 4:45,97.3,64.62
61,4/4/2023 5:00,97,64.58
