#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH)
1,06/05/2023 12:00:00,27.36,-103.35,8.53
2,06/05/2023 13:00:00,28.00,-106.07,8.57
3,06/05/2023 14:00:00,28.22,-103.91,8.53
4,06/05/2023 15:00:00,29.21,-101.30,8.48
5,06/05/2023 16:00:00,30.17,-99.71,8.45
6,06/05/2023 17:00:00,28.12,-96.61,8.41
7,06/05/2023 18:00:00,26.92,-93.83,8.37
8,06/05/2023 19:00:00,25.19,-92.49,8.35
9,06/05/2023 20:00:00,23.83,-92.58,8.36
10,06/05/2023 21:00:00,22.37,-92.67,8.37
11,06/05/2023 22:00:00,21.41,-92.66,8.37
12,06/05/2023 23:00:00,20.53,-92.44,8.37
13,06/06/2023 00:00:00,19.37,-92.33,8.38
14,06/06/2023 01:00:00,18.20,-92.30,8.38
15,06/06/2023 02:00:00,17.58,-92.07,8.38
16,06/06/2023 03:00:00,17.20,-91.88,8.38
17,06/06/2023 04:00:00,16.75,-91.91,8.38
18,06/06/2023 05:00:00,16.30,-90.69,8.36
19,06/06/2023 06:00:00,16.03,-90.52,8.36
20,06/06/2023 07:00:00,15.72,-90.57,8.36
21,06/06/2023 08:00:00,16.77,-91.63,8.38
22,06/06/2023 09:00:00,19.70,-91.96,8.37
23,06/06/2023 10:00:00,23.42,-89.39,8.31
24,06/06/2023 11:00:00,25.57,-89.85,8.31
25,06/06/2023 12:00:00,30.49,-99.28,8.44
26,06/06/2023 13:00:00,31.66,-97.67,8.41
27,06/06/2023 14:00:00,29.29,-95.46,8.38
28,06/06/2023 15:00:00,31.10,-96.44,8.39
29,06/06/2023 16:00:00,32.28,-96.58,8.39
30,06/06/2023 17:00:00,29.84,-94.64,8.37
31,06/06/2023 18:00:00,27.97,-88.67,8.27
32,06/06/2023 19:00:00,26.74,-84.44,8.21
33,06/06/2023 20:00:00,25.19,-84.08,8.21
34,06/06/2023 21:00:00,24.17,-84.46,8.22
35,06/06/2023 22:00:00,23.28,-84.86,8.23
36,06/06/2023 23:00:00,22.37,-85.30,8.24
37,06/07/2023 00:00:00,21.84,-85.47,8.25
38,06/07/2023 01:00:00,21.29,-85.58,8.25
39,06/07/2023 02:00:00,20.58,-85.80,8.26
40,06/07/2023 03:00:00,19.96,-85.72,8.26
41,06/07/2023 04:00:00,19.84,-86.32,8.27
42,06/07/2023 05:00:00,19.91,-86.33,8.27
43,06/07/2023 06:00:00,20.13,-86.25,8.27
44,06/07/2023 07:00:00,20.22,-86.50,8.27
45,06/07/2023 08:00:00,20.75,-87.14,8.28
46,06/07/2023 09:00:00,22.32,-87.55,8.28
47,06/07/2023 10:00:00,23.30,-87.27,8.27
48,06/07/2023 11:00:00,24.99,-86.17,8.24
49,06/07/2023 12:00:00,27.26,-86.03,8.23
50,06/07/2023 13:00:00,28.57,-88.25,8.26
51,06/07/2023 14:00:00,29.79,-88.24,8.26
52,06/07/2023 15:00:00,30.32,-91.07,8.31
53,06/07/2023 16:00:00,29.21,-88.36,8.26
54,06/07/2023 17:00:00,29.31,-90.83,8.31
55,06/07/2023 18:00:00,28.94,-91.53,8.32
56,06/07/2023 19:00:00,26.79,-85.89,8.23
57,06/07/2023 20:00:00,25.14,-81.44,8.16
58,06/07/2023 21:00:00,24.12,-80.71,8.15
59,06/07/2023 22:00:00,23.42,-80.63,8.15
60,06/07/2023 23:00:00,22.90,-80.56,8.16
61,06/08/2023 00:00:00,22.27,-80.92,8.16
62,06/08/2023 01:00:00,21.63,-81.05,8.17
63,06/08/2023 02:00:00,21.01,-81.35,8.18
64,06/08/2023 03:00:00,20.48,-81.30,8.18
65,06/08/2023 04:00:00,20.32,-81.67,8.18
66,06/08/2023 05:00:00,20.15,-81.61,8.18
67,06/08/2023 06:00:00,20.10,-81.88,8.19
68,06/08/2023 07:00:00,20.13,-81.91,8.19
69,06/08/2023 08:00:00,20.89,-82.38,8.19
70,06/08/2023 09:00:00,22.97,-82.27,8.18
71,06/08/2023 10:00:00,25.38,-78.46,8.11
72,06/08/2023 11:00:00,26.99,-77.41,8.09
73,06/08/2023 12:00:00,32.18,-88.13,8.25
74,06/08/2023 13:00:00,32.79,-87.47,8.23
75,06/08/2023 14:00:00,32.05,-88.39,8.25
76,06/08/2023 15:00:00,31.92,-88.17,8.25
77,06/08/2023 16:00:00,30.57,-88.49,8.26
78,06/08/2023 17:00:00,30.90,-89.21,8.27
79,06/08/2023 18:00:00,27.43,-77.99,8.09
80,06/08/2023 19:00:00,24.80,-79.00,8.12
81,06/08/2023 20:00:00,24.05,-79.46,8.13
82,06/08/2023 21:00:00,23.11,-79.67,8.14
83,06/08/2023 22:00:00,22.51,-79.35,8.14
84,06/08/2023 23:00:00,22.06,-79.66,8.14
85,06/09/2023 00:00:00,21.70,-79.25,8.14
86,06/09/2023 01:00:00,21.44,-79.25,8.14
87,06/09/2023 02:00:00,21.34,-78.96,8.13
88,06/09/2023 03:00:00,21.49,-78.27,8.12
89,06/09/2023 04:00:00,21.65,-77.47,8.11
90,06/09/2023 05:00:00,21.68,-77.61,8.11
91,06/09/2023 06:00:00,21.68,-76.77,8.09
92,06/09/2023 07:00:00,21.56,-77.02,8.10
93,06/09/2023 08:00:00,22.27,-76.46,8.09
94,06/09/2023 09:00:00,23.86,-75.38,8.06
95,06/09/2023 10:00:00,25.65,-75.00,8.05
96,06/09/2023 11:00:00,26.99,-77.96,8.09
97,06/09/2023 12:00:00,30.49,-69.61,7.94
98,06/09/2023 13:00:00,30.90,-66.06,7.88
99,06/09/2023 14:00:00,30.44,-64.77,7.86
100,06/09/2023 15:00:00,26.30,-63.50,7.85
101,06/09/2023 16:00:00,24.60,-63.56,7.85
102,06/09/2023 17:00:00,23.54,-63.31,7.85
103,06/09/2023 18:00:00,21.68,-68.66,7.95
104,06/09/2023 19:00:00,21.25,-69.92,7.98
105,06/09/2023 20:00:00,21.32,-69.06,7.96
106,06/09/2023 21:00:00,21.15,-68.56,7.95
107,06/09/2023 22:00:00,20.91,-68.27,7.95
108,06/09/2023 23:00:00,20.53,-67.17,7.93
109,06/10/2023 00:00:00,20.17,-67.06,7.93
110,06/10/2023 01:00:00,19.56,-66.38,7.92
111,06/10/2023 02:00:00,19.27,-65.99,7.91
112,06/10/2023 03:00:00,19.01,-65.21,7.90
113,06/10/2023 04:00:00,18.79,-64.55,7.89
114,06/10/2023 05:00:00,18.98,-63.30,7.87
115,06/10/2023 06:00:00,18.72,-62.81,7.86
116,06/10/2023 07:00:00,18.53,-62.55,7.85
117,06/10/2023 08:00:00,19.32,-62.14,7.85
118,06/10/2023 09:00:00,21.63,-58.35,7.77
119,06/10/2023 10:00:00,24.05,-56.81,7.74
120,06/10/2023 11:00:00,25.23,-59.03,7.77
121,06/10/2023 12:00:00,27.70,-58.42,7.76
122,06/10/2023 13:00:00,29.64,-64.91,7.86
123,06/10/2023 14:00:00,29.19,-59.47,7.77
124,06/10/2023 15:00:00,28.00,-53.30,7.67
125,06/10/2023 16:00:00,26.60,-53.97,7.68
126,06/10/2023 17:00:00,24.58,-53.69,7.68
127,06/10/2023 18:00:00,24.39,-56.45,7.73
128,06/10/2023 19:00:00,24.90,-55.39,7.71
129,06/10/2023 20:00:00,24.15,-54.49,7.70
130,06/10/2023 21:00:00,23.42,-55.14,7.71
131,06/10/2023 22:00:00,22.87,-55.78,7.72
132,06/10/2023 23:00:00,22.58,-56.33,7.73
133,06/11/2023 00:00:00,22.30,-56.47,7.74
134,06/11/2023 01:00:00,21.87,-56.56,7.74
135,06/11/2023 02:00:00,21.49,-56.24,7.74
136,06/11/2023 03:00:00,20.98,-56.24,7.74
137,06/11/2023 04:00:00,20.51,-56.03,7.73
138,06/11/2023 05:00:00,20.15,-55.63,7.73
139,06/11/2023 06:00:00,19.77,-55.02,7.72
140,06/11/2023 07:00:00,19.58,-55.02,7.72
141,06/11/2023 08:00:00,20.34,-56.49,7.74
142,06/11/2023 09:00:00,22.63,-56.10,7.73
143,06/11/2023 10:00:00,25.38,-53.33,7.68
144,06/11/2023 11:00:00,27.04,-51.75,7.64
145,06/11/2023 12:00:00,30.92,-44.19,7.51
