"Plot Title: Bradford_6acond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10922244, SEN S/N: 10922244)","Temp, °F (LGR S/N: 10922244, SEN S/N: 10922244)"
1,12/08/22 02:30:00 PM,5.8,81.34
2,12/08/22 02:45:00 PM,1.5,82.49
3,12/08/22 03:00:00 PM,1.5,82.56
4,12/08/22 03:15:00 PM,1.5,81.03
5,12/08/22 03:30:00 PM,1.1,78.37
6,12/08/22 03:45:00 PM,1.5,77.54
7,12/08/22 04:00:00 PM,1.5,77.04
8,12/08/22 04:15:00 PM,1.5,75.79
9,12/08/22 04:30:00 PM,1.5,74.53
10,12/08/22 04:45:00 PM,1.5,72.97
11,12/08/22 05:00:00 PM,1.5,71.38
12,12/08/22 05:15:00 PM,5.8,69.87
13,12/08/22 05:30:00 PM,1.5,68.41
14,12/08/22 05:45:00 PM,1.5,67.12
15,12/08/22 06:00:00 PM,5.8,65.98
16,12/08/22 06:15:00 PM,1.5,65.05
17,12/08/22 06:30:00 PM,1.5,64.26
18,12/08/22 06:45:00 PM,1.1,63.73
19,12/08/22 07:00:00 PM,1.5,63.66
20,12/08/22 07:15:00 PM,1.5,63.52
21,12/08/22 07:30:00 PM,1.5,63.32
22,12/08/22 07:45:00 PM,1.5,63.00
23,12/08/22 08:00:00 PM,5.8,62.49
24,12/08/22 08:15:00 PM,1.5,61.81
25,12/08/22 08:30:00 PM,5.8,61.21
26,12/08/22 08:45:00 PM,1.5,60.62
27,12/08/22 09:00:00 PM,5.9,60.08
28,12/08/22 09:15:00 PM,5.9,59.61
29,12/08/22 09:30:00 PM,1.5,59.27
30,12/08/22 09:45:00 PM,5.9,58.96
31,12/08/22 10:00:00 PM,1.5,58.55
32,12/08/22 10:15:00 PM,1.5,58.24
33,12/08/22 10:30:00 PM,1.5,57.83
34,12/08/22 10:45:00 PM,1.5,57.60
35,12/08/22 11:00:00 PM,1.5,57.47
36,12/08/22 11:15:00 PM,1.1,57.25
37,12/08/22 11:30:00 PM,5.9,56.89
38,12/08/22 11:45:00 PM,5.9,56.70
39,12/09/22 12:00:00 AM,1.5,56.59
40,12/09/22 12:15:00 AM,1.5,56.62
41,12/09/22 12:30:00 AM,5.9,56.34
42,12/09/22 12:45:00 AM,5.9,56.32
43,12/09/22 01:00:00 AM,1.5,56.23
44,12/09/22 01:15:00 AM,1.5,55.92
45,12/09/22 01:30:00 AM,5.9,55.80
46,12/09/22 01:45:00 AM,5.9,55.56
47,12/09/22 02:00:00 AM,5.9,55.44
48,12/09/22 02:15:00 AM,1.5,55.27
49,12/09/22 02:30:00 AM,5.9,55.08
50,12/09/22 02:45:00 AM,1.5,54.79
51,12/09/22 03:00:00 AM,1.5,54.64
52,12/09/22 03:15:00 AM,5.9,54.30
53,12/09/22 03:30:00 AM,1.5,54.12
54,12/09/22 03:45:00 AM,1.5,53.92
55,12/09/22 04:00:00 AM,1.5,53.94
56,12/09/22 04:15:00 AM,5.9,54.07
57,12/09/22 04:30:00 AM,17.7,54.57
58,12/09/22 04:45:00 AM,2.7,54.45
59,12/09/22 05:00:00 AM,10.2,54.45
60,12/09/22 05:15:00 AM,2.7,54.41
61,12/09/22 05:30:00 AM,2.7,54.30
62,12/09/22 05:45:00 AM,2.7,54.43
63,12/09/22 06:00:00 AM,2.7,54.28
64,12/09/22 06:15:00 AM,1.1,53.92
65,12/09/22 06:30:00 AM,2.7,53.49
66,12/09/22 06:45:00 AM,1.1,53.20
67,12/09/22 07:00:00 AM,2.7,53.06
68,12/09/22 07:15:00 AM,2.7,52.83
69,12/09/22 07:30:00 AM,2.7,52.70
70,12/09/22 07:45:00 AM,1.5,52.75
71,12/09/22 08:00:00 AM,2.7,53.35
72,12/09/22 08:15:00 AM,1.5,54.23
73,12/09/22 08:30:00 AM,2.7,55.63
74,12/09/22 08:45:00 AM,1.1,57.06
75,12/09/22 09:00:00 AM,1.1,58.35
76,12/09/22 09:15:00 AM,1.1,59.97
77,12/09/22 09:30:00 AM,2.3,61.77
78,12/09/22 09:45:00 AM,1.5,63.68
