"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733150, SEN S/N: 10733150)","Temp, °F (LGR S/N: 10733150, SEN S/N: 10733150)"
1,06/02/23 12:00:00 PM,0.29,75.88
2,06/02/23 01:00:00 PM,0.37,75.92
3,06/02/23 02:00:00 PM,0.34,77.40
4,06/02/23 03:00:00 PM,0.41,77.00
5,06/02/23 04:00:00 PM,0.42,77.07
6,06/02/23 05:00:00 PM,0.47,76.60
7,06/02/23 06:00:00 PM,0.56,75.74
8,06/02/23 07:00:00 PM,0.60,74.73
9,06/02/23 08:00:00 PM,0.62,73.54
10,06/02/23 09:00:00 PM,0.61,72.82
11,06/02/23 10:00:00 PM,0.62,72.21
12,06/02/23 11:00:00 PM,0.59,71.28
13,06/03/23 12:00:00 AM,0.56,70.63
14,06/03/23 01:00:00 AM,0.45,70.02
15,06/03/23 02:00:00 AM,0.40,69.40
16,06/03/23 03:00:00 AM,0.36,69.26
17,06/03/23 04:00:00 AM,0.33,69.08
18,06/03/23 05:00:00 AM,0.29,69.04
19,06/03/23 06:00:00 AM,0.29,68.97
20,06/03/23 07:00:00 AM,0.28,69.55
21,06/03/23 08:00:00 AM,0.28,70.52
22,06/03/23 09:00:00 AM,0.28,71.38
23,06/03/23 10:00:00 AM,0.24,72.90
24,06/03/23 11:00:00 AM,0.19,75.74
25,06/03/23 12:00:00 PM,0.20,75.70
26,06/03/23 01:00:00 PM,0.20,75.56
27,06/03/23 02:00:00 PM,0.19,77.43
28,06/03/23 03:00:00 PM,0.21,76.96
29,06/03/23 04:00:00 PM,0.21,78.55
30,06/03/23 05:00:00 PM,0.20,77.04
31,06/03/23 06:00:00 PM,0.20,76.82
32,06/03/23 07:00:00 PM,0.33,75.56
33,06/03/23 08:00:00 PM,0.40,74.12
34,06/03/23 09:00:00 PM,0.54,73.33
35,06/03/23 10:00:00 PM,0.58,72.50
36,06/03/23 11:00:00 PM,0.58,71.38
37,06/04/23 12:00:00 AM,0.58,70.27
38,06/04/23 01:00:00 AM,0.54,70.16
39,06/04/23 02:00:00 AM,0.48,69.84
40,06/04/23 03:00:00 AM,0.42,69.19
41,06/04/23 04:00:00 AM,0.37,69.94
42,06/04/23 05:00:00 AM,0.34,70.52
43,06/04/23 06:00:00 AM,0.39,70.41
44,06/04/23 07:00:00 AM,0.39,70.77
45,06/04/23 08:00:00 AM,0.36,71.67
46,06/04/23 09:00:00 AM,0.34,73.22
47,06/04/23 10:00:00 AM,0.27,74.84
48,06/04/23 11:00:00 AM,0.20,77.36
49,06/04/23 12:00:00 PM,0.44,73.00
50,06/04/23 01:00:00 PM,0.55,74.55
51,06/04/23 02:00:00 PM,0.45,76.82
52,06/04/23 03:00:00 PM,0.43,75.31
53,06/04/23 04:00:00 PM,0.46,74.41
54,06/04/23 05:00:00 PM,0.50,73.98
55,06/04/23 06:00:00 PM,0.55,72.82
56,06/04/23 07:00:00 PM,0.55,72.14
57,06/04/23 08:00:00 PM,0.55,71.56
58,06/04/23 09:00:00 PM,0.50,71.24
59,06/04/23 10:00:00 PM,0.45,70.95
60,06/04/23 11:00:00 PM,0.40,70.59
61,06/05/23 12:00:00 AM,0.36,70.48
62,06/05/23 01:00:00 AM,0.30,70.41
63,06/05/23 02:00:00 AM,0.25,70.27
64,06/05/23 03:00:00 AM,0.20,69.98
65,06/05/23 04:00:00 AM,0.18,69.40
66,06/05/23 05:00:00 AM,0.10,69.58
67,06/05/23 06:00:00 AM,0.12,69.69
68,06/05/23 07:00:00 AM,0.09,70.95
69,06/05/23 08:00:00 AM,0.15,72.64
70,06/05/23 09:00:00 AM,0.18,73.62
71,06/05/23 10:00:00 AM,0.15,75.27
72,06/05/23 11:00:00 AM,0.18,77.72
73,06/05/23 12:00:00 PM,0.21,77.22
74,06/05/23 01:00:00 PM,0.22,78.08
75,06/05/23 02:00:00 PM,0.20,78.58
76,06/05/23 03:00:00 PM,0.27,79.99
77,06/05/23 04:00:00 PM,0.20,83.52
78,06/05/23 05:00:00 PM,0.20,78.58
79,06/05/23 06:00:00 PM,0.17,77.00
80,06/05/23 07:00:00 PM,0.31,74.70
81,06/05/23 08:00:00 PM,0.31,72.10
