"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20342020, SEN S/N: 20342020)","Temp, °F (LGR S/N: 20342020, SEN S/N: 20342020)"
1,08/02/23 02:00:00 PM,0.62,78.33
2,08/02/23 03:00:00 PM,0.57,78.66
3,08/02/23 04:00:00 PM,0.59,79.09
4,08/02/23 05:00:00 PM,0.56,79.41
5,08/02/23 06:00:00 PM,0.64,79.59
6,08/02/23 07:00:00 PM,0.48,79.59
7,08/02/23 08:00:00 PM,0.55,79.52
8,08/02/23 09:00:00 PM,0.56,79.34
9,08/02/23 10:00:00 PM,0.50,79.16
10,08/02/23 11:00:00 PM,0.60,78.94
11,08/03/23 12:00:00 AM,0.61,78.69
12,08/03/23 01:00:00 AM,0.62,78.44
13,08/03/23 02:00:00 AM,0.69,78.19
14,08/03/23 03:00:00 AM,0.59,77.94
15,08/03/23 04:00:00 AM,0.61,77.68
16,08/03/23 05:00:00 AM,0.68,77.43
17,08/03/23 06:00:00 AM,0.60,77.18
18,08/03/23 07:00:00 AM,0.71,77.04
19,08/03/23 08:00:00 AM,0.72,77.07
20,08/03/23 09:00:00 AM,0.72,77.25
21,08/03/23 10:00:00 AM,0.73,77.47
22,08/03/23 11:00:00 AM,0.74,77.79
23,08/03/23 12:00:00 PM,0.75,78.08
24,08/03/23 01:00:00 PM,0.75,78.55
25,08/03/23 02:00:00 PM,0.73,78.91
26,08/03/23 03:00:00 PM,0.74,79.38
27,08/03/23 04:00:00 PM,0.72,79.66
28,08/03/23 05:00:00 PM,0.71,79.95
29,08/03/23 06:00:00 PM,0.71,79.88
30,08/03/23 07:00:00 PM,0.71,79.84
31,08/03/23 08:00:00 PM,0.71,79.70
32,08/03/23 09:00:00 PM,0.71,79.48
33,08/03/23 10:00:00 PM,0.70,79.23
34,08/03/23 11:00:00 PM,0.72,78.98
35,08/04/23 12:00:00 AM,0.73,78.80
36,08/04/23 01:00:00 AM,0.73,78.58
37,08/04/23 02:00:00 AM,0.74,78.37
38,08/04/23 03:00:00 AM,0.74,78.15
39,08/04/23 04:00:00 AM,0.72,77.97
40,08/04/23 05:00:00 AM,0.75,77.79
41,08/04/23 06:00:00 AM,0.75,77.65
42,08/04/23 07:00:00 AM,0.73,77.54
43,08/04/23 08:00:00 AM,0.74,77.58
44,08/04/23 09:00:00 AM,0.75,77.83
45,08/04/23 10:00:00 AM,0.67,78.15
46,08/04/23 11:00:00 AM,0.71,78.40
47,08/04/23 12:00:00 PM,0.73,78.51
48,08/04/23 01:00:00 PM,0.69,78.73
49,08/04/23 02:00:00 PM,0.92,78.66
50,08/04/23 03:00:00 PM,0.93,78.58
51,08/04/23 04:00:00 PM,0.93,78.58
52,08/04/23 05:00:00 PM,0.89,78.66
53,08/04/23 06:00:00 PM,0.88,78.69
54,08/04/23 07:00:00 PM,0.81,78.62
55,08/04/23 08:00:00 PM,0.79,78.58
56,08/04/23 09:00:00 PM,0.78,78.44
57,08/04/23 10:00:00 PM,0.77,78.33
58,08/04/23 11:00:00 PM,0.76,78.15
59,08/05/23 12:00:00 AM,0.76,78.01
60,08/05/23 01:00:00 AM,0.76,77.83
61,08/05/23 02:00:00 AM,0.75,77.65
62,08/05/23 03:00:00 AM,0.76,77.50
63,08/05/23 04:00:00 AM,0.77,77.32
64,08/05/23 05:00:00 AM,0.75,77.14
65,08/05/23 06:00:00 AM,0.75,76.96
66,08/05/23 07:00:00 AM,0.75,76.86
67,08/05/23 08:00:00 AM,0.77,76.82
68,08/05/23 09:00:00 AM,0.77,76.82
69,08/05/23 10:00:00 AM,0.78,76.96
70,08/05/23 11:00:00 AM,0.77,77.07
71,08/05/23 12:00:00 PM,0.77,77.50
72,08/05/23 01:00:00 PM,0.76,78.04
73,08/05/23 02:00:00 PM,0.75,78.48
74,08/05/23 03:00:00 PM,0.74,78.98
75,08/05/23 04:00:00 PM,0.73,79.45
76,08/05/23 05:00:00 PM,0.71,79.56
77,08/05/23 06:00:00 PM,0.71,79.63
78,08/05/23 07:00:00 PM,0.70,79.52
79,08/05/23 08:00:00 PM,0.70,79.41
80,08/05/23 09:00:00 PM,0.70,79.27
81,08/05/23 10:00:00 PM,0.70,79.05
82,08/05/23 11:00:00 PM,0.70,78.87
83,08/06/23 12:00:00 AM,0.69,78.73
84,08/06/23 01:00:00 AM,0.69,78.55
85,08/06/23 02:00:00 AM,0.68,78.40
