"Plot Title: Bradford_stream9"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Temp, °F (LGR S/N: 20342066, SEN S/N: 20342066)"
1,06/21/22 03:00:00 PM,118.2,80.15
2,06/21/22 04:00:00 PM,138.4,80.31
3,06/21/22 05:00:00 PM,138.5,79.97
4,06/21/22 06:00:00 PM,138.4,80.02
5,06/21/22 07:00:00 PM,138.5,79.90
6,06/21/22 08:00:00 PM,137.4,79.66
7,06/21/22 09:00:00 PM,137.8,79.48
8,06/21/22 10:00:00 PM,137.8,79.29
9,06/21/22 11:00:00 PM,137.1,79.02
10,06/22/22 12:00:00 AM,137.1,78.76
11,06/22/22 01:00:00 AM,137.2,78.48
12,06/22/22 02:00:00 AM,137.2,78.24
13,06/22/22 03:00:00 AM,136.8,77.97
14,06/22/22 04:00:00 AM,136.9,77.61
15,06/22/22 05:00:00 AM,136.9,77.40
16,06/22/22 06:00:00 AM,136.2,77.16
17,06/22/22 07:00:00 AM,136.6,77.04
18,06/22/22 08:00:00 AM,136.9,77.02
19,06/22/22 09:00:00 AM,136.9,77.02
20,06/22/22 10:00:00 AM,136.9,77.34
21,06/22/22 11:00:00 AM,137.5,78.40
22,06/22/22 12:00:00 PM,138.2,79.25
23,06/22/22 01:00:00 PM,138.1,79.59
24,06/22/22 02:00:00 PM,139.4,81.30
25,06/22/22 03:00:00 PM,139.4,81.28
26,06/22/22 04:00:00 PM,139.4,81.99
27,06/22/22 05:00:00 PM,137.0,80.89
28,06/22/22 06:00:00 PM,137.3,80.92
29,06/22/22 07:00:00 PM,136.9,81.01
30,06/22/22 08:00:00 PM,134.9,80.64
31,06/22/22 09:00:00 PM,134.9,80.44
32,06/22/22 10:00:00 PM,135.9,80.22
33,06/22/22 11:00:00 PM,136.0,79.95
34,06/23/22 12:00:00 AM,136.7,79.75
35,06/23/22 01:00:00 AM,136.7,79.54
36,06/23/22 02:00:00 AM,137.8,79.32
37,06/23/22 03:00:00 AM,137.5,79.16
38,06/23/22 04:00:00 AM,137.8,78.91
39,06/23/22 05:00:00 AM,137.5,78.73
40,06/23/22 06:00:00 AM,137.1,78.53
41,06/23/22 07:00:00 AM,137.9,78.55
42,06/23/22 08:00:00 AM,137.8,78.64
43,06/23/22 09:00:00 AM,138.2,78.78
44,06/23/22 10:00:00 AM,138.2,79.18
45,06/23/22 11:00:00 AM,134.5,80.38
46,06/23/22 12:00:00 PM,141.5,81.68
47,06/23/22 01:00:00 PM,143.1,83.39
48,06/23/22 02:00:00 PM,143.4,84.16
49,06/23/22 03:00:00 PM,141.9,84.85
50,06/23/22 04:00:00 PM,143.6,85.80
51,06/23/22 05:00:00 PM,137.8,83.37
52,06/23/22 06:00:00 PM,128.6,83.17
53,06/23/22 07:00:00 PM,115.9,82.98
54,06/23/22 08:00:00 PM,98.6,82.08
55,06/23/22 09:00:00 PM,91.2,81.72
56,06/23/22 10:00:00 PM,102.9,81.46
57,06/23/22 11:00:00 PM,122.4,81.16
58,06/24/22 12:00:00 AM,127.4,81.19
59,06/24/22 01:00:00 AM,129.9,81.05
60,06/24/22 02:00:00 AM,131.6,80.91
61,06/24/22 03:00:00 AM,134.5,80.78
62,06/24/22 04:00:00 AM,135.9,80.71
63,06/24/22 05:00:00 AM,136.3,80.55
64,06/24/22 06:00:00 AM,135.9,80.35
65,06/24/22 07:00:00 AM,137.3,80.44
66,06/24/22 08:00:00 AM,135.9,80.58
67,06/24/22 09:00:00 AM,136.3,80.76
68,06/24/22 10:00:00 AM,137.6,81.39
69,06/24/22 11:00:00 AM,135.1,82.38
70,06/24/22 12:00:00 PM,135.6,84.38
71,06/24/22 01:00:00 PM,132.5,83.25
72,06/24/22 02:00:00 PM,138.0,81.34
73,06/24/22 03:00:00 PM,122.1,79.97
74,06/24/22 04:00:00 PM,134.5,80.65
75,06/24/22 05:00:00 PM,139.8,80.65
76,06/24/22 06:00:00 PM,140.2,80.55
77,06/24/22 07:00:00 PM,140.2,80.29
78,06/24/22 08:00:00 PM,140.2,79.97
79,06/24/22 09:00:00 PM,136.7,79.72
80,06/24/22 10:00:00 PM,134.9,79.45
81,06/24/22 11:00:00 PM,136.7,79.20
82,06/25/22 12:00:00 AM,136.4,78.94
83,06/25/22 01:00:00 AM,135.4,78.69
84,06/25/22 02:00:00 AM,135.0,78.44
85,06/25/22 03:00:00 AM,133.6,78.19
86,06/25/22 04:00:00 AM,132.9,77.97
87,06/25/22 05:00:00 AM,133.3,77.74
88,06/25/22 06:00:00 AM,133.7,77.52
89,06/25/22 07:00:00 AM,133.7,77.41
90,06/25/22 08:00:00 AM,133.7,77.50
91,06/25/22 09:00:00 AM,133.7,77.54
92,06/25/22 10:00:00 AM,133.3,77.77
93,06/25/22 11:00:00 AM,134.3,78.04
94,06/25/22 12:00:00 PM,135.7,79.16
95,06/25/22 01:00:00 PM,136.0,79.45
96,06/25/22 02:00:00 PM,136.3,80.31
97,06/25/22 03:00:00 PM,135.9,80.96
98,06/25/22 04:00:00 PM,136.2,81.18
99,06/25/22 05:00:00 PM,130.6,80.65
100,06/25/22 06:00:00 PM,134.5,80.71
101,06/25/22 07:00:00 PM,134.9,80.60
102,06/25/22 08:00:00 PM,135.2,80.38
103,06/25/22 09:00:00 PM,135.2,80.17
104,06/25/22 10:00:00 PM,135.6,80.01
105,06/25/22 11:00:00 PM,134.9,79.70
106,06/26/22 12:00:00 AM,133.5,79.38
107,06/26/22 01:00:00 AM,133.9,79.07
108,06/26/22 02:00:00 AM,133.9,78.75
109,06/26/22 03:00:00 AM,134.3,78.40
110,06/26/22 04:00:00 AM,134.0,78.10
111,06/26/22 05:00:00 AM,133.7,77.72
112,06/26/22 06:00:00 AM,134.0,77.41
113,06/26/22 07:00:00 AM,134.1,77.27
114,06/26/22 08:00:00 AM,134.1,77.23
115,06/26/22 09:00:00 AM,134.1,77.27
116,06/26/22 10:00:00 AM,134.0,77.54
117,06/26/22 11:00:00 AM,134.3,78.24
118,06/26/22 12:00:00 PM,135.6,79.81
119,06/26/22 01:00:00 PM,135.2,80.42
120,06/26/22 02:00:00 PM,135.8,81.86
121,06/26/22 03:00:00 PM,134.1,81.19
122,06/26/22 04:00:00 PM,132.3,82.08
123,06/26/22 05:00:00 PM,127.1,80.13
124,06/26/22 06:00:00 PM,117.9,79.48
125,06/26/22 07:00:00 PM,36.5,78.55
126,06/26/22 08:00:00 PM,20.3,77.16
127,06/26/22 09:00:00 PM,18.5,75.94
128,06/26/22 10:00:00 PM,17.1,74.41
129,06/26/22 11:00:00 PM,17.8,73.44
130,06/27/22 12:00:00 AM,19.2,73.09
131,06/27/22 01:00:00 AM,19.6,72.84
132,06/27/22 02:00:00 AM,84.5,73.62
133,06/27/22 03:00:00 AM,108.7,74.16
134,06/27/22 04:00:00 AM,116.1,74.50
135,06/27/22 05:00:00 AM,121.8,75.16
