7450-866812
OS REV: 1.05 Sensor Cal: 1685656531
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1688673600,+3.48,+26.135, +1.984,+0.993
1688677200,+3.48,+26.186, +1.802,+0.993
1688680800,+3.48,+26.186, +1.659,+0.993
1688684400,+3.48,+26.144, +1.643,+0.993
1688688000,+3.49,+26.144, +1.563,+0.993
1688691600,+3.49,+26.118, +1.343,+0.993
1688695200,+3.49,+26.093, +1.309,+0.993
1688698800,+3.49,+26.068, +1.319,+0.993
1688702400,+3.49,+26.034, +1.321,+0.993
1688706000,+3.49,+25.958, +1.221,+0.992
1688709600,+3.49,+25.899, +1.074,+0.992
1688713200,+3.49,+25.823, +1.064,+0.992
1688716800,+3.49,+25.764, +1.076,+0.991
1688720400,+3.49,+25.705, +1.079,+0.992
1688724000,+3.49,+25.663, +0.926,+0.991
1688727600,+3.49,+25.612, +0.876,+0.990
1688731200,+3.49,+25.587, +1.000,+0.991
1688734800,+3.49,+25.595, +0.881,+0.990
1688738400,+3.49,+25.646, +0.792,+0.990
1688742000,+3.49,+25.738, +0.743,+0.989
1688745600,+3.49,+25.865, +0.730,+0.989
1688749200,+3.49,+25.949, +0.785,+0.990
1688752800,+3.49,+26.034, +0.745,+0.990
1688756400,+3.48,+26.203, +0.714,+0.989
1688760000,+3.48,+26.211, +0.576,+0.988
