7450-887320
OS REV: 1.05 Sensor Cal: 1685657299
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690732800,+3.53,+24.917, +2.728,+0.935
1690736400,+3.53,+25.372, +2.778,+0.935
1690740000,+3.54,+25.819, +2.197,+0.933
1690743600,+3.53,+26.359, +2.392,+0.933
1690747200,+3.54,+26.731, +2.269,+0.933
1690750800,+3.54,+27.113, +2.386,+0.931
1690754400,+3.53,+27.308, +1.988,+0.932
1690758000,+3.53,+27.402, +2.074,+0.933
1690761600,+3.54,+27.274, +2.050,+0.933
1690765200,+3.54,+25.481, +6.413,+0.935
1690768800,+3.54,+23.868, +5.156,+0.936
1690772400,+3.54,+23.675, +3.684,+0.937
1690776000,+3.54,+23.524, +3.671,+0.937
1690779600,+3.54,+23.415, +3.277,+0.937
1690783200,+3.54,+23.331, +3.159,+0.937
1690786800,+3.54,+23.239, +3.195,+0.937
1690790400,+3.54,+23.156, +3.230,+0.938
1690794000,+3.54,+23.105, +3.232,+0.937
1690797600,+3.54,+23.055, +3.319,+0.937
1690801200,+3.54,+22.980, +3.362,+0.937
1690804800,+3.54,+22.963, +3.404,+0.937
1690808400,+3.54,+23.080, +3.416,+0.937
1690812000,+3.54,+23.281, +3.519,+0.937
1690815600,+3.54,+23.532, +3.560,+0.937
1690819200,+3.54,+23.809, +3.683,+0.937
