Name,RASTERVALU,,,Site,distance,FA,,,Site,distance,FA,,,Site,distance,FA
5.2,1812340,,1,5.1,6130.37,138375,,1,9.1,8475.96,262193,,1,3.1a,9149.22,9204
3.4,80468,,2,5.2,4497.86,1812340,,2,9.2,3140.96,1960760,,2,3.2,7836.22,1355500
6.1,3131520,,3,5.3,2467.91,10249400,,3,9.3,2002.8,5821280,,3,3.4,5594.22,1139580
9.1,262193,,4,5.4,1267.37,14519100,,4,9.4,904.88,19268200,,4,6.1,4518.92,3131520
9.2,1960760,,5,5,0,17795000,,5,9,0,19864100,,5,6,390.63,26276900
9.Sam,171608000,,,,,,,,,,,,6,6.3,0,26315900
9.3,5821280,,,,,,,,,,,,,,,
9.4,19268200,,,,,,,,,,,,,,,
9,19864100,,,,,,,,,,,,,,,
6,26276900,,,,,,,,,,,,,,,
5.3,10249400,,,,,,,,,,,,,,,
5.4,14519100,,,,,,,,,,,,,,,
5,17795000,,,,,,,,,,,,,,,
3.2,1355500,,,,,,,,,,,,,,,
3.1,6032190,,,,,,,,,,,,,,,
5.1,138375,,,,,,,,,,,,,,,
6.3,26315900,,,,,,,,,,,,,,,
