Date,Eosense,Vaisala,K30
2024-06-13T15:45:00Z,139.0476,113.6526,85.65637
2024-06-13T16:00:00Z,532.3298,417.5833,79.86391
2024-06-13T16:15:00Z,547.3062,407.4283,76.94373
2024-06-13T16:30:00Z,547.3135,386.125,88.2021
2024-06-13T16:45:00Z,577.8002,407.2842,76.92243
2024-06-13T17:00:00Z,623.0808,414.9059,92.05933
2024-06-13T17:15:00Z,653.0234,374.4692,76.3707
2024-06-13T17:30:00Z,698.3018,392.1988,93.19745
2024-06-13T17:45:00Z,698.7567,407.4724,76.81543
2024-06-13T18:00:00Z,744.3014,376.1678,76.59083
2024-06-13T18:15:00Z,728.8087,394.9726,76.60622
2024-06-13T18:30:00Z,728.8181,382.5338,76.51302
2024-06-13T18:45:00Z,728.8118,373.6284,76.62263
2024-06-13T19:00:00Z,759.4201,379.04,66.85773
2024-06-13T19:15:00Z,744.2447,407.2988,67.04565
2024-06-13T19:30:00Z,698.3505,396.8298,67.10912
2024-06-13T19:45:00Z,667.9263,371.2484,66.50293
2024-06-13T20:00:00Z,652.9312,372.5566,66.84219
2024-06-13T20:15:00Z,653.2091,373.1433,66.69511
2024-06-13T20:30:00Z,607.9583,407.1385,67.07284
2024-06-13T20:45:00Z,607.5611,381.5719,66.49216
2024-06-13T21:00:00Z,638.0818,401.437,66.82178
2024-06-13T21:15:00Z,638.2534,407.0754,66.97043
2024-06-13T21:30:00Z,623.1353,392.1901,66.74321
2024-06-13T21:45:00Z,607.7675,405.2532,66.74113
2024-06-13T22:00:00Z,592.5071,380.6783,66.64201
2024-06-13T22:15:00Z,577.4749,391.2659,66.60493
2024-06-13T22:30:00Z,562.3962,392.4718,66.72791
2024-06-13T22:45:00Z,562.7661,393.6974,66.75513
2024-06-13T23:00:00Z,562.5001,426.233,66.56596
2024-06-13T23:15:00Z,562.3633,414.0487,66.70888
2024-06-13T23:30:00Z,577.4287,401.8304,66.43863
2024-06-13T23:45:00Z,577.5134,425.7025,66.722
2024-06-14T00:00:00Z,622.8035,419.6316,66.50232
2024-06-14T00:15:00Z,698.4458,402.5911,66.60336
2024-06-14T00:30:00Z,728.8205,403.4366,66.73564
2024-06-14T00:45:00Z,744.4618,433.5979,67.00954
2024-06-14T01:00:00Z,728.5454,436.2333,66.73096
2024-06-14T01:15:00Z,728.5908,436.4297,66.70052
2024-06-14T01:30:00Z,728.5248,423.917,66.4324
2024-06-14T01:45:00Z,744.0473,411.9315,66.44021
2024-06-14T02:00:00Z,744.0765,444.5765,66.81068
2024-06-14T02:15:00Z,759.3644,439.3579,66.76597
2024-06-14T02:30:00Z,774.6167,435.1773,66.68806
2024-06-14T02:45:00Z,774.6724,450.2177,66.70864
2024-06-14T03:00:00Z,789.6807,477.546,66.70712
2024-06-14T03:15:00Z,834.5552,477.4227,66.69951
2024-06-14T03:30:00Z,834.9613,489.1239,67.01123
2024-06-14T03:45:00Z,850.197,487.8592,66.57888
2024-06-14T04:00:00Z,865.0212,475.5819,66.43957
2024-06-14T04:15:00Z,865.254,463.4519,66.42168
2024-06-14T04:30:00Z,880.4684,487.6328,66.69904
2024-06-14T04:45:00Z,895.3909,453.6168,66.41798
2024-06-14T05:00:00Z,895.338,487.4421,66.55577
2024-06-14T05:15:00Z,910.6669,487.4517,66.71391
2024-06-14T05:30:00Z,925.9811,482.9678,66.67946
2024-06-14T05:45:00Z,940.7792,478.2073,66.71635
